"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854909.31898";"несколько";"73";"нейтральный";"838";"388";"";"4 года 6 месяцев";"около 195 тысяч";"194";"21 / 22";"11103";"20615";"0";"6828";"0";"12880";"9261";"0"
"1463858774.76516";"несколько";"73";"нейтральный";"838";"388";"";"4 года 6 месяцев";"около 195 тысяч";"194";"21 / 22";"11103";"20615";"0";"6832";"0";"12893";"9269";"0"
"1463901960.05301";"несколько";"73";"нейтральный";"838";"388";"";"4 года 6 месяцев";"около 195 тысяч";"194";"21 / 22";"11104";"20615";"0";"6768";"0";"12762";"9209";"0"
"1463945161.95723";"несколько";"73";"нейтральный";"838";"388";"";"4 года 6 месяцев";"около 195 тысяч";"194";"21 / 22";"11109";"20615";"0";"6824";"0";"12894";"9277";"0"
"1463988359.7572";"около 2 тысяч";"73";"нейтральный";"842";"388";"";"4 года 6 месяцев";"около 195 тысяч";"194";"21 / 22";"11092";"20615";"0";"6771";"0";"12697";"9171";"0"
"1464031562.81419";"около 4 тысяч";"73";"нейтральный";"842";"388";"";"4 года 6 месяцев";"около 195 тысяч";"194";"21 / 22";"11100";"20615";"0";"6819";"0";"12811";"9248";"0"
"1464074758.8562";"около 4 тысяч";"73";"нейтральный";"842";"388";"";"4 года 6 месяцев";"около 195 тысяч";"194";"21 / 22";"11103";"20615";"0";"6771";"0";"12739";"9192";"0"
"1464117959.80446";"около 4 тысяч";"73";"нейтральный";"842";"388";"";"4 года 6 месяцев";"около 195 тысяч";"194";"21 / 22";"11107";"20615";"0";"6822";"0";"12884";"9255";"0"
"1464161159.82896";"около 4 тысяч";"73";"нейтральный";"842";"388";"";"4 года 6 месяцев";"около 195 тысяч";"194";"21 / 22";"11113";"20615";"0";"6742";"0";"12718";"9159";"0"
"1464204358.98679";"около 6 тысяч";"73";"нейтральный";"844";"388";"";"4 года 6 месяцев";"около 195 тысяч";"194";"21 / 22";"11069";"20615";"0";"6805";"0";"12815";"9238";"0"
"1464247558.45652";"около 7 сотен";"73";"нейтральный";"844";"388";"";"4 года 6 месяцев";"около 195 тысяч";"195";"21 / 22";"11067";"20615";"0";"6757";"0";"12791";"9129";"0"
"1464290763.16953";"около 7 сотен";"73";"нейтральный";"844";"388";"";"4 года 6 месяцев";"около 195 тысяч";"195";"21 / 22";"11072";"20615";"0";"6842";"0";"12939";"9224";"0"
"1464333963.58311";"около 3 тысяч";"73";"нейтральный";"851";"388";"";"4 года 6 месяцев";"около 196 тысяч";"195";"21 / 22";"11043";"20615";"0";"6770";"0";"12761";"9149";"0"
