"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854924.70072";"около 11 тысяч";"79";"добродетельный";"910";"412";"13";"6 лет 5 месяцев";"около 237 тысяч";"180";"43 / 63";"6821";"11179";"0";"5019";"11690";"6375";"5295";"2261"
"1463858790.12396";"около 11 тысяч";"79";"добродетельный";"910";"412";"13";"6 лет 5 месяцев";"около 237 тысяч";"180";"43 / 63";"6822";"11179";"0";"5023";"11696";"6383";"5296";"2348"
"1463901975.41701";"около 4 тысяч";"79";"добродетельный";"920";"412";"13";"6 лет 5 месяцев";"около 238 тысяч";"181";"43 / 63";"6794";"11179";"0";"4964";"11588";"6410";"5253";"2205"
"1463945177.33586";"около 5 тысяч";"79";"добродетельный";"920";"412";"13";"6 лет 5 месяцев";"около 238 тысяч";"181";"43 / 63";"6790";"11179";"0";"4974";"11667";"6458";"5274";"1990"
"1463988375.12248";"около 7 тысяч";"79";"добродетельный";"921";"412";"14";"6 лет 5 месяцев";"около 238 тысяч";"181";"43 / 63";"6789";"11179";"0";"4930";"10977";"6365";"5243";"1844"
"1464031578.21661";"около 18 сотен";"79";"добродетельный";"922";"412";"14";"6 лет 5 месяцев";"около 238 тысяч";"181";"43 / 63";"6779";"11179";"0";"4958";"11034";"6413";"5259";"1595"
"1464074774.21566";"около 3 тысяч";"79";"добродетельный";"923";"412";"14";"6 лет 5 месяцев";"около 238 тысяч";"181";"43 / 63";"6778";"11179";"0";"4922";"10945";"6361";"5224";"1468"
"1464117975.1398";"около 8 тысяч";"79";"добродетельный";"924";"412";"14";"6 лет 5 месяцев";"около 238 тысяч";"181";"43 / 63";"6777";"11179";"0";"4958";"11011";"6408";"5253";"1501"
"1464161175.18389";"около 9 тысяч";"79";"добродетельный";"924";"412";"14";"6 лет 5 месяцев";"около 238 тысяч";"181";"43 / 63";"6775";"11179";"0";"4910";"10886";"6325";"5219";"1371"
"1464204374.32889";"около 5 тысяч";"79";"добродетельный";"925";"412";"14";"6 лет 5 месяцев";"около 238 тысяч";"181";"43 / 63";"6751";"11179";"0";"4928";"10969";"6387";"5243";"1118"
"1464247573.79729";"около 5 тысяч";"79";"абсолютное добро";"927";"412";"14";"6 лет 5 месяцев";"около 238 тысяч";"181";"43 / 63";"6748";"11179";"0";"4884";"10864";"6302";"5209";"1207"
"1464290778.63439";"около 13 тысяч";"79";"абсолютное добро";"927";"412";"14";"6 лет 5 месяцев";"около 239 тысяч";"181";"43 / 63";"6748";"11179";"0";"4952";"10925";"6378";"5261";"1081"
"1464333978.92449";"около 6 тысяч";"79";"абсолютное добро";"927";"412";"14";"6 лет 5 месяцев";"около 239 тысяч";"181";"43 / 63";"6717";"11179";"0";"4941";"10828";"6281";"5226";"1020"
