"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854945.18145";"около 8 тысяч";"71";"добродетельный";"829";"380";"";"2 года 10 месяцев";"около 183 тысяч";"169";"4 / 3";"12038";"23585";"0";"8074";"0";"10493";"8037";"1076"
"1463858810.55326";"около 8 тысяч";"71";"добродетельный";"829";"380";"";"2 года 10 месяцев";"около 183 тысяч";"169";"4 / 3";"12037";"23585";"0";"8081";"0";"10505";"8043";"1155"
"1463901995.83391";"около 6 тысяч";"71";"добродетельный";"830";"380";"";"2 года 10 месяцев";"около 183 тысяч";"169";"4 / 3";"12034";"23585";"0";"8006";"0";"10425";"7982";"1607"
"1463945197.75891";"около 3 тысяч";"71";"добродетельный";"830";"380";"";"2 года 10 месяцев";"около 183 тысяч";"169";"4 / 3";"12030";"23585";"0";"8069";"0";"10496";"8023";"1134"
"1463988395.57493";"около 2 тысяч";"71";"добродетельный";"831";"380";"";"2 года 10 месяцев";"около 183 тысяч";"169";"4 / 3";"12030";"23585";"0";"7978";"0";"10376";"7959";"1568"
"1464031598.71488";"около 3 тысяч";"71";"добродетельный";"832";"380";"";"2 года 10 месяцев";"около 183 тысяч";"169";"4 / 3";"12027";"23585";"0";"8023";"0";"10436";"8003";"1062"
"1464074794.63523";"около 4 тысяч";"71";"добродетельный";"832";"380";"";"2 года 10 месяцев";"около 183 тысяч";"169";"4 / 3";"12028";"23585";"0";"7974";"0";"10365";"7952";"1495"
"1464117995.58691";"около 9 тысяч";"71";"добродетельный";"833";"380";"";"2 года 10 месяцев";"около 183 тысяч";"169";"4 / 3";"12012";"23585";"0";"8040";"0";"10465";"7981";"1249"
"1464161195.60448";"около 3 тысяч";"71";"добродетельный";"833";"380";"";"2 года 10 месяцев";"около 183 тысяч";"169";"4 / 3";"12019";"23585";"0";"7922";"0";"10317";"7902";"1721"
"1464204394.80598";"около 3 тысяч";"71";"добродетельный";"834";"380";"";"2 года 10 месяцев";"около 184 тысяч";"169";"4 / 3";"12012";"23585";"0";"8012";"0";"10432";"7941";"1420"
"1464247594.22691";"около 4 тысяч";"71";"добродетельный";"834";"380";"";"2 года 10 месяцев";"около 184 тысяч";"169";"4 / 3";"12011";"23585";"0";"7914";"0";"10278";"7866";"1872"
"1464290799.05612";"около 4 тысяч";"71";"добродетельный";"834";"380";"";"2 года 10 месяцев";"около 184 тысяч";"169";"4 / 3";"12018";"23585";"0";"8009";"0";"10421";"7939";"2446"
"1464333999.34475";"около 4 сотен";"71";"добродетельный";"834";"380";"";"2 года 10 месяцев";"около 184 тысяч";"170";"4 / 3";"12017";"23585";"0";"7939";"0";"10419";"7885";"2080"
