"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854965.64155";"около 7 тысяч";"66";"добродушный";"828";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17816";"25980";"0";"9274";"0";"7014";"7474";"10454"
"1463858830.96607";"около 7 тысяч";"66";"добродушный";"828";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17815";"25980";"0";"9281";"0";"7005";"7478";"10539"
"1463902016.31276";"около 9 тысяч";"66";"добродушный";"829";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17807";"25980";"0";"9195";"0";"6949";"7417";"10944"
"1463945218.20859";"около 5 тысяч";"66";"добродушный";"831";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17799";"25980";"0";"9289";"0";"6999";"7470";"11539"
"1463988416.01253";"около 9 тысяч";"66";"добродушный";"832";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17784";"25980";"0";"9128";"0";"6893";"7405";"11955"
"1464031619.18761";"около 5 тысяч";"66";"добродушный";"833";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17773";"25980";"0";"9191";"0";"6941";"7457";"10261"
"1464074815.07533";"около 10 тысяч";"66";"миролюбивый";"834";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17769";"25980";"0";"9077";"0";"6870";"7411";"9626"
"1464118016.0671";"около 17 сотен";"66";"миролюбивый";"834";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17753";"25980";"0";"9162";"0";"6936";"7445";"8323"
"1464161216.04356";"около 5 тысяч";"66";"миролюбивый";"835";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17747";"25980";"0";"9063";"0";"6848";"7372";"8720"
"1464204415.2391";"около 3 тысяч";"66";"миролюбивый";"835";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17753";"25980";"0";"9112";"0";"6913";"7439";"9364"
"1464247614.66621";"около 3 тысяч";"66";"миролюбивый";"835";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17761";"25980";"0";"8991";"0";"6823";"7378";"9733"
"1464290819.50449";"около 5 тысяч";"66";"миролюбивый";"837";"360";"";"1 год 10 месяцев";"около 104 тысяч";"82";"8 / 5";"17748";"25980";"0";"9100";"0";"6888";"7435";"10305"
"1464334019.76442";"ни одного";"66";"добродушный";"837";"360";"";"1 год 10 месяцев";"около 104 тысяч";"83";"8 / 5";"17746";"25980";"0";"9016";"0";"6968";"7385";"10809"
