"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854980.97651";"около 3 тысяч";"80";"миролюбивый";"1007";"416";"";"5 лет 12 месяцев";"около 252 тысяч";"181";"59 / 88";"6165";"9285";"0";"3509";"0";"5618";"6130";"4817"
"1463858846.29184";"около 3 тысяч";"80";"миролюбивый";"1007";"416";"";"5 лет 12 месяцев";"около 252 тысяч";"181";"59 / 88";"6165";"9285";"0";"3512";"0";"5618";"6133";"4908"
"1463902031.67876";"около 9 тысяч";"80";"миролюбивый";"1007";"416";"";"5 лет 12 месяцев";"около 252 тысяч";"181";"59 / 88";"6163";"9285";"0";"3490";"0";"5573";"6098";"4472"
"1463945233.54069";"около 5 тысяч";"80";"добродетельный";"1008";"416";"";"5 лет 12 месяцев";"около 252 тысяч";"181";"59 / 88";"6160";"9285";"0";"3505";"0";"5609";"6122";"3292"
"1463988431.36004";"около 5 тысяч";"80";"добродетельный";"1009";"416";"";"5 лет 12 месяцев";"около 252 тысяч";"181";"59 / 88";"6159";"9285";"0";"3478";"0";"5546";"6078";"2852"
"1464031634.52587";"около 6 тысяч";"80";"добродетельный";"1009";"416";"";"5 лет 12 месяцев";"около 252 тысяч";"181";"59 / 88";"6161";"9285";"0";"3495";"0";"5584";"6111";"2949"
"1464074830.41888";"около 10 тысяч";"80";"добродетельный";"1010";"416";"";"5 лет 12 месяцев";"около 252 тысяч";"181";"59 / 88";"6161";"9285";"0";"3480";"0";"5537";"6078";"3102"
"1464118031.40329";"около 14 тысяч";"80";"добродетельный";"1011";"416";"";"5 лет 12 месяцев";"около 253 тысяч";"181";"59 / 88";"6160";"9285";"0";"3501";"0";"5583";"6091";"2837"
"1464161231.38168";"около 8 тысяч";"80";"добродетельный";"1011";"416";"";"5 лет 12 месяцев";"около 253 тысяч";"181";"59 / 88";"6147";"9285";"0";"3474";"0";"5508";"6053";"2025"
"1464204430.59216";"около 14 тысяч";"80";"добродетельный";"1012";"416";"";"5 лет 12 месяцев";"около 253 тысяч";"181";"59 / 88";"6147";"9285";"0";"3488";"0";"5564";"6094";"2374"
"1464247630.00601";"около 4 тысяч";"80";"добродетельный";"1012";"416";"";"5 лет 12 месяцев";"около 253 тысяч";"181";"59 / 88";"6134";"9285";"0";"3452";"0";"5482";"6064";"1839"
"1464290834.89052";"около 2 сотен";"80";"добродетельный";"1012";"416";"";"5 лет 12 месяцев";"около 253 тысяч";"182";"59 / 88";"6135";"9285";"0";"3486";"0";"5629";"6117";"2409"
"1464334035.09836";"около 2 тысяч";"80";"добродетельный";"1012";"416";"";"5 лет 12 месяцев";"около 253 тысяч";"182";"59 / 88";"6137";"9285";"0";"3477";"0";"5557";"6079";"2042"
