"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854986.08103";"ни одного";"75";"нейтральный";"1002";"396";"8";"6 лет 1 месяц";"около 195 тысяч";"188";"72 / 76";"9382";"17219";"16993";"6010";"16862";"11810";"7581";"0"
"1463858851.39858";"ни одного";"75";"нейтральный";"1002";"396";"8";"6 лет 1 месяц";"около 195 тысяч";"188";"72 / 76";"9382";"17219";"16995";"6011";"16878";"11817";"7586";"0"
"1463902036.7797";"ни одного";"75";"нейтральный";"1002";"396";"8";"6 лет 1 месяц";"около 195 тысяч";"188";"72 / 76";"9386";"17219";"16997";"5962";"16644";"11723";"7538";"0"
"1463945238.64735";"около 5 тысяч";"75";"нейтральный";"1003";"396";"6 лет 1 месяц";"около 195 тысяч";"188";"72 / 76";"9371";"17219";"17005";"5989";"15968";"11786";"7584";"0"
"1463988436.47865";"около 5 тысяч";"75";"нейтральный";"1003";"396";"6 лет 1 месяц";"около 195 тысяч";"188";"72 / 76";"9376";"17219";"17005";"5944";"15794";"11646";"7533";"0"
"1464031639.64132";"около 4 тысяч";"75";"нейтральный";"1004";"396";"1";"6 лет 1 месяц";"около 195 тысяч";"188";"72 / 76";"9372";"17219";"17012";"5985";"15924";"11737";"7577";"0"
"1464074835.52977";"около 4 тысяч";"75";"нейтральный";"1004";"396";"1";"6 лет 1 месяц";"около 195 тысяч";"188";"72 / 76";"9379";"17219";"17013";"5947";"15740";"11658";"7537";"0"
"1464118036.50799";"около 4 тысяч";"75";"нейтральный";"1004";"396";"1";"6 лет 1 месяц";"около 195 тысяч";"188";"72 / 76";"9383";"17219";"17017";"5998";"15847";"11774";"7583";"0"
"1464161236.49541";"около 4 тысяч";"75";"нейтральный";"1004";"396";"1";"6 лет 1 месяц";"около 195 тысяч";"188";"72 / 76";"9387";"17219";"17015";"5921";"15600";"11639";"7507";"0"
"1464204435.6991";"около 3 тысяч";"75";"нейтральный";"1007";"396";"2";"6 лет 1 месяц";"около 195 тысяч";"188";"72 / 76";"9346";"17219";"17023";"5978";"15756";"11707";"7554";"0"
"1464247635.11831";"около 3 тысяч";"75";"нейтральный";"1007";"396";"2";"6 лет 1 месяц";"около 195 тысяч";"188";"72 / 76";"9353";"17219";"17029";"5926";"15547";"11535";"7491";"0"
"1464290839.9895";"около 5 тысяч";"75";"нейтральный";"1008";"396";"6 лет 1 месяц";"около 196 тысяч";"188";"72 / 76";"9342";"17219";"17033";"5973";"15639";"11662";"7551";"0"
"1464334040.23793";"около тысячи";"75";"нейтральный";"1010";"396";"6 лет 1 месяц";"около 196 тысяч";"189";"72 / 76";"9350";"17219";"17039";"5932";"15438";"11695";"7499";"0"
