"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855093.60998";"около 9 тысяч";"73";"нейтральный";"819";"388";"";"4 года 12 месяцев";"около 195 тысяч";"199";"55 / 49";"10676";"16827";"21722";"6015";"0";"13763";"9012";"0"
"1463858958.74569";"около 9 тысяч";"73";"нейтральный";"819";"388";"";"4 года 12 месяцев";"около 195 тысяч";"199";"55 / 49";"10676";"16827";"21724";"6016";"0";"13779";"9021";"0"
"1463902144.235";"около 9 тысяч";"73";"нейтральный";"819";"388";"";"4 года 12 месяцев";"около 195 тысяч";"199";"55 / 49";"10682";"16827";"21725";"5965";"0";"13641";"8962";"0"
"1463945346.03767";"около 9 тысяч";"73";"нейтральный";"819";"388";"";"4 года 12 месяцев";"около 195 тысяч";"199";"55 / 49";"10686";"16827";"21733";"6011";"0";"13759";"9027";"0"
"1463988543.86636";"около 3 тысяч";"73";"нейтральный";"824";"388";"";"4 года 12 месяцев";"около 195 тысяч";"199";"55 / 49";"10667";"16827";"21742";"5979";"0";"13529";"8918";"0"
"1464031747.17414";"около 4 тысяч";"73";"нейтральный";"824";"388";"";"4 года 12 месяцев";"около 196 тысяч";"199";"55 / 49";"10669";"16827";"21744";"6013";"0";"13628";"8983";"0"
"1464074942.85891";"около 16 сотен";"73";"нейтральный";"825";"388";"";"4 года 12 месяцев";"около 196 тысяч";"200";"55 / 49";"10669";"16827";"21746";"5988";"0";"13693";"8936";"0"
"1464118144.05444";"около 9 тысяч";"73";"нейтральный";"825";"388";"";"4 года 12 месяцев";"около 196 тысяч";"200";"55 / 49";"10669";"16827";"21745";"6038";"0";"13863";"8997";"0"
"1464161343.92763";"около 5 тысяч";"73";"нейтральный";"826";"388";"";"4 года 12 месяцев";"около 196 тысяч";"200";"55 / 49";"10643";"16827";"21751";"5949";"0";"13698";"8907";"0"
"1464204543.27667";"около 10 тысяч";"73";"нейтральный";"827";"388";"";"4 года 12 месяцев";"около 196 тысяч";"200";"55 / 49";"10643";"16827";"21760";"6006";"0";"13822";"8976";"0"
"1464247742.49472";"около 5 тысяч";"73";"нейтральный";"828";"388";"";"5 лет";"около 196 тысяч";"200";"55 / 49";"10621";"16827";"21761";"5945";"0";"13616";"8884";"0"
"1464290947.45986";"около 4 тысяч";"73";"нейтральный";"828";"388";"";"5 лет";"около 196 тысяч";"200";"55 / 49";"10621";"16827";"21765";"6013";"0";"13729";"8973";"0"
"1464334147.63256";"около 9 тысяч";"73";"нейтральный";"829";"388";"";"5 лет";"около 196 тысяч";"200";"55 / 49";"10621";"16827";"21768";"5951";"0";"13582";"8897";"0"
