"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855098.7298";"около 7 тысяч";"50";"добродетельный";"14";"296";"6";"1 год 1 месяц";"около 60 тысяч";"76";"13 / 20";"36974";"0";"17930";"20050";"23157";"18113";"1573"
"1463858963.91539";"около 7 тысяч";"50";"добродетельный";"14";"296";"6";"1 год 1 месяц";"около 60 тысяч";"76";"13 / 20";"36974";"0";"17950";"20075";"23170";"18126";"1344"
"1463902149.33928";"около 4 тысяч";"50";"добродетельный";"15";"296";"6";"1 год 1 месяц";"около 60 тысяч";"76";"13 / 20";"36974";"0";"17543";"19777";"22810";"17854";"903"
"1463945351.1412";"ни одного";"50";"абсолютное добро";"20";"296";"6";"1 год 1 месяц";"около 60 тысяч";"77";"13 / 20";"36974";"0";"17695";"19950";"23603";"18044";"523"
"1463988548.97843";"около тысячи";"50";"добродетельный";"20";"296";"6";"1 год 1 месяц";"около 60 тысяч";"77";"13 / 20";"36974";"0";"17505";"19696";"23281";"17834";"1479"
"1464031752.28542";"около тысячи";"50";"добродетельный";"22";"296";"6";"1 год 1 месяц";"около 60 тысяч";"77";"13 / 20";"36974";"0";"17707";"19851";"23482";"17999";"1254"
"1464074947.9751";"около 3 тысяч";"50";"добродетельный";"23";"296";"7";"1 год 1 месяц";"около 60 тысяч";"77";"13 / 20";"36974";"0";"17496";"18682";"23113";"17813";"1094"
"1464118149.18853";"ни одного";"50";"добродетельный";"24";"296";"7";"1 год 1 месяц";"около 60 тысяч";"78";"13 / 20";"36974";"0";"17552";"18855";"23879";"18012";"1428"
"1464161349.03949";"около 2 тысяч";"50";"добродетельный";"26";"296";"7";"1 год 1 месяц";"около 60 тысяч";"78";"13 / 20";"36974";"0";"17259";"18579";"23573";"17773";"1599"
"1464204548.38867";"около 7 тысяч";"50";"добродетельный";"25";"296";"7";"1 год 1 месяц";"около 60 тысяч";"78";"13 / 20";"36974";"0";"17468";"18830";"23823";"17910";"1614"
"1464247747.6012";"около 9 сотен";"50";"добродетельный";"27";"296";"7";"1 год 1 месяц";"около 60 тысяч";"78";"13 / 20";"36974";"0";"17197";"18581";"23377";"17628";"1444"
"1464290952.56635";"около тысячи";"50";"добродетельный";"28";"296";"7";"1 год 1 месяц";"около 61 тысяч";"78";"13 / 20";"36974";"0";"17387";"18704";"23618";"17835";"1665"
"1464334152.73728";"около 4 тысяч";"50";"абсолютное добро";"29";"296";"7";"1 год 1 месяц";"около 61 тысяч";"78";"13 / 20";"36974";"0";"17104";"18444";"23242";"17636";"1257"
