"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855108.94869";"около 6 тысяч";"69";"добродушный";"824";"372";"18";"3 года";"около 141 тысяч";"145";"14 / 17";"14146";"22170";"0";"8634";"8011";"13909";"8388";"13480"
"1463858974.12568";"около 5 тысяч";"69";"добродушный";"824";"372";"18";"3 года";"около 141 тысяч";"145";"14 / 17";"14145";"22170";"0";"8640";"8012";"13925";"8395";"13543"
"1463902159.56096";"ни одного";"69";"добродушный";"825";"372";"18";"3 года";"около 141 тысяч";"146";"14 / 17";"14132";"22170";"0";"8552";"7961";"13999";"8327";"12679"
"1463945361.34893";"около 3 сотен";"69";"добродушный";"825";"372";"18";"3 года";"около 142 тысяч";"146";"14 / 17";"14135";"22170";"0";"8562";"8012";"14146";"8388";"11499"
"1463988559.19618";"около тысячи";"69";"добродушный";"825";"372";"18";"3 года";"около 142 тысяч";"146";"14 / 17";"14138";"22170";"0";"8467";"7981";"13984";"8315";"11928"
"1464031762.50611";"около тысячи";"69";"добродушный";"825";"372";"18";"3 года";"около 142 тысяч";"146";"14 / 17";"14145";"22170";"0";"8545";"8021";"14125";"8380";"12448"
"1464074958.18145";"около 6 тысяч";"69";"добродушный";"825";"372";"18";"3 года";"около 142 тысяч";"146";"14 / 17";"14126";"22170";"0";"8497";"7982";"13924";"8317";"12817"
"1464118159.45157";"около 18 тысяч";"69";"добродушный";"828";"372";"19";"3 года";"около 142 тысяч";"146";"14 / 17";"14124";"22170";"0";"8552";"7530";"14094";"8369";"12397"
"1464161359.25864";"около 10 тысяч";"69";"добродушный";"828";"372";"19";"3 года";"около 142 тысяч";"146";"14 / 17";"14119";"22170";"0";"8450";"7465";"13872";"8268";"12783"
"1464204558.61742";"около 15 тысяч";"69";"добродушный";"837";"372";"19";"3 года";"около 142 тысяч";"146";"14 / 17";"14073";"22170";"0";"8514";"7534";"14015";"8337";"12142"
"1464247757.82038";"около 12 тысяч";"69";"добродушный";"837";"372";"19";"3 года";"около 142 тысяч";"146";"14 / 17";"14064";"22170";"0";"8378";"7468";"13795";"8248";"11764"
"1464290962.79644";"около 5 тысяч";"69";"добродушный";"838";"372";"19";"3 года";"около 142 тысяч";"146";"14 / 17";"14069";"22170";"0";"8478";"7514";"13922";"8309";"12313"
"1464334162.95636";"около 15 тысяч";"69";"добродушный";"839";"372";"19";"3 года";"около 142 тысяч";"146";"14 / 17";"14066";"22170";"0";"8398";"7461";"13765";"8245";"12020"
