"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.taming";"p.alignment"
"1463855144.88554";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13007";"15106";"0";"0";"0"
"1463859009.92988";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13007";"15106";"0";"0";"0"
"1463902195.33237";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13008";"15106";"0";"0";"0"
"1463945397.18783";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13010";"15106";"0";"0";"0"
"1463988594.99515";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13015";"15106";"0";"0";"0"
"1464031798.36823";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13020";"15106";"0";"0";"0"
"1464074993.97199";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13023";"15106";"0";"0";"0"
"1464118195.33239";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13026";"15106";"0";"0";"0"
"1464161395.06308";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13031";"15106";"0";"0";"0"
"1464204594.45007";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13040";"15106";"0";"0";"0"
"1464247793.59675";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13044";"15106";"0";"0";"0"
"1464290998.70445";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13051";"15106";"0";"0";"0"
"1464334198.71402";"около 9 тысяч";"70";"нейтральный";"815";"376";"";"4 года 1 месяц";"около 159 тысяч";"114";"61 / 95";"13054";"15106";"0";"0";"0"
