"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855170.54039";"около 9 тысяч";"73";"недовольный";"1001";"388";"13";"4 года 2 месяца";"около 197 тысяч";"198";"14 / 17";"10663";"20210";"0";"8397";"11886";"13255";"7064";"5549"
"1463859035.50709";"около 9 тысяч";"73";"недовольный";"1001";"388";"13";"4 года 2 месяца";"около 197 тысяч";"198";"14 / 17";"10664";"20210";"0";"8403";"11892";"13268";"7068";"5571"
"1463902220.89073";"около 9 тысяч";"73";"недовольный";"1001";"388";"13";"4 года 2 месяца";"около 197 тысяч";"198";"14 / 17";"10669";"20210";"0";"8330";"11789";"13144";"7027";"5629"
"1463945422.769";"около 5 тысяч";"73";"недовольный";"1004";"388";"13";"4 года 2 месяца";"около 197 тысяч";"198";"14 / 17";"10646";"20210";"0";"8372";"11868";"13209";"7054";"5669"
"1463988620.57547";"около 3 тысяч";"73";"недовольный";"1004";"388";"13";"4 года 2 месяца";"около 197 тысяч";"198";"14 / 17";"10646";"20210";"0";"8283";"11810";"13053";"7013";"5731"
"1464031823.9644";"около 3 тысяч";"73";"недовольный";"1004";"388";"13";"4 года 2 месяца";"около 197 тысяч";"198";"14 / 17";"10650";"20210";"0";"8358";"11890";"13174";"7065";"5859"
"1464075019.53256";"около 3 тысяч";"73";"недовольный";"1004";"388";"13";"4 года 2 месяца";"около 197 тысяч";"198";"14 / 17";"10655";"20210";"0";"8295";"11776";"13068";"7030";"5916"
"1464118220.93326";"около 7 тысяч";"73";"недовольный";"1006";"388";"13";"4 года 2 месяца";"около 197 тысяч";"198";"14 / 17";"10639";"20210";"0";"8444";"11839";"13152";"7060";"5519"
"1464161420.62826";"около 7 тысяч";"73";"недовольный";"1006";"388";"13";"4 года 2 месяца";"около 197 тысяч";"198";"14 / 17";"10642";"20210";"0";"8341";"11693";"13010";"6997";"5584"
"1464204620.0248";"около 5 тысяч";"73";"недовольный";"1007";"388";"13";"4 года 2 месяца";"около 198 тысяч";"198";"14 / 17";"10637";"20210";"0";"8440";"11801";"13123";"7034";"5268"
"1464247819.17317";"около 5 тысяч";"73";"недовольный";"1007";"388";"13";"4 года 2 месяца";"около 198 тысяч";"198";"14 / 17";"10641";"20210";"0";"8332";"11687";"12923";"6986";"5328"
"1464291024.28279";"около 3 сотен";"73";"недовольный";"1007";"388";"13";"4 года 2 месяца";"около 198 тысяч";"199";"14 / 17";"10643";"20210";"0";"8433";"11747";"13253";"7050";"5366"
"1464334224.30129";"около сотни";"73";"недовольный";"1007";"388";"13";"4 года 2 месяца";"около 198 тысяч";"199";"14 / 17";"10648";"20210";"0";"8345";"11650";"13106";"7006";"5461"
