"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855216.55412";"около 7 тысяч";"75";"чистое зло";"988";"396";"19";"2 года 8 месяцев";"около 201 тысяч";"172";"0 / 1";"9573";"22866";"0";"7932";"7665";"8534";"5509";"47"
"1463859081.57782";"около 7 тысяч";"75";"чистое зло";"988";"396";"19";"2 года 8 месяцев";"около 201 тысяч";"172";"0 / 1";"9574";"22866";"0";"7939";"7667";"8542";"5510";"54"
"1463902267.01039";"около 4 тысяч";"75";"чистое зло";"989";"396";"19";"2 года 8 месяцев";"около 202 тысяч";"172";"0 / 1";"9567";"22866";"0";"7854";"7622";"8448";"5481";"89"
"1463945468.85132";"около 9 тысяч";"75";"чистое зло";"990";"396";"19";"2 года 8 месяцев";"около 202 тысяч";"172";"0 / 1";"9560";"22866";"0";"7925";"7667";"8529";"5504";"247"
"1463988666.71153";"около 10 тысяч";"75";"чистое зло";"990";"396";"19";"2 года 8 месяцев";"около 202 тысяч";"172";"0 / 1";"9556";"22866";"0";"7815";"7633";"8397";"5466";"181"
"1464031870.15346";"около 8 тысяч";"75";"чистое зло";"991";"396";"19";"2 года 8 месяцев";"около 202 тысяч";"172";"0 / 1";"9558";"22866";"0";"7898";"7680";"8464";"5493";"177"
"1464075065.65027";"около 13 тысяч";"75";"чистое зло";"991";"396";"19";"2 года 8 месяцев";"около 202 тысяч";"172";"0 / 1";"9550";"22866";"0";"7831";"7646";"8384";"5466";"242"
"1464118267.0654";"около 4 сотен";"75";"чистое зло";"991";"396";"19";"2 года 8 месяцев";"около 202 тысяч";"173";"0 / 1";"9546";"22866";"0";"7917";"7688";"8590";"5494";"265"
"1464161466.7912";"около 7 тысяч";"75";"чистое зло";"992";"396";"19";"2 года 8 месяцев";"около 202 тысяч";"173";"0 / 1";"9543";"22866";"0";"7805";"7624";"8484";"5453";"357"
"1464204666.07269";"около 8 тысяч";"75";"чистое зло";"993";"396";"19";"2 года 8 месяцев";"около 203 тысяч";"173";"0 / 1";"9540";"22866";"0";"7890";"7690";"8577";"5488";"364"
"1464247865.19248";"около 10 тысяч";"75";"чистое зло";"1001";"396";"19";"2 года 8 месяцев";"около 203 тысяч";"173";"0 / 1";"9517";"22866";"0";"7808";"7621";"8433";"5451";"417"
"1464291070.44595";"около 10 тысяч";"75";"чистое зло";"1001";"396";"19";"2 года 8 месяцев";"около 203 тысяч";"173";"0 / 1";"9522";"22866";"0";"7907";"7663";"8549";"5505";"746"
"1464334270.42435";"около 8 тысяч";"75";"чистое зло";"1002";"396";"19";"2 года 8 месяцев";"около 203 тысяч";"173";"0 / 1";"9496";"22866";"0";"7820";"7607";"8419";"5471";"670"
