"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855303.6703";"около тысячи";"45";"агрессивный";"4";"276";"";"7 месяцев";"около 47 тысяч";"53";"10 / 10";"37173";"0";"20662";"0";"17826";"18411";"2233"
"1463859168.54163";"около 6 тысяч";"45";"злобный";"5";"276";"";"7 месяцев";"около 47 тысяч";"53";"10 / 10";"37173";"0";"20686";"0";"17847";"18425";"2262"
"1463902353.98849";"около 5 десятков";"45";"злобный";"5";"276";"";"7 месяцев";"около 47 тысяч";"53";"10 / 10";"37173";"0";"20310";"0";"17398";"18180";"1520"
"1463945555.78096";"около 3 тысяч";"45";"злобный";"7";"276";"";"7 месяцев";"около 47 тысяч";"53";"10 / 10";"37173";"0";"20563";"0";"17379";"18366";"1453"
"1463988753.65684";"около 19 сотен";"45";"злобный";"7";"276";"";"7 месяцев";"около 47 тысяч";"53";"10 / 10";"37173";"0";"20184";"0";"17082";"18151";"1396"
"1464031957.29753";"около 3 тысяч";"45";"злобный";"8";"276";"";"7 месяцев";"около 47 тысяч";"53";"10 / 10";"37173";"0";"20436";"0";"17149";"18333";"1310"
"1464075152.50163";"около сотни";"45";"злобный";"8";"276";"";"7 месяцев";"около 48 тысяч";"54";"10 / 10";"37173";"0";"20200";"0";"17821";"18142";"1237"
"1464118354.06722";"около 5 тысяч";"45";"злобный";"8";"276";"";"7 месяцев";"около 48 тысяч";"54";"10 / 10";"37173";"0";"22240";"0";"17890";"18379";"1105"
"1464161553.73135";"около 5 тысяч";"45";"злобный";"9";"276";"";"7 месяцев";"около 48 тысяч";"54";"10 / 10";"37173";"0";"20357";"0";"17543";"18133";"1030"
"1464204752.96446";"около 10 тысяч";"45";"чистое зло";"9";"276";"";"7 месяцев";"около 48 тысяч";"54";"10 / 10";"37173";"0";"20450";"0";"17643";"18316";"502"
"1464247952.32375";"около 2 тысяч";"45";"чистое зло";"10";"276";"";"7 месяцев";"около 48 тысяч";"54";"10 / 10";"37173";"0";"20079";"0";"17365";"18036";"779"
"1464291157.47847";"около 4 тысяч";"45";"чистое зло";"10";"276";"";"7 месяцев";"около 48 тысяч";"54";"10 / 10";"37173";"0";"20295";"0";"17371";"18239";"684"
"1464334357.44827";"около 4 тысяч";"45";"чистое зло";"11";"276";"";"7 месяцев";"около 48 тысяч";"54";"10 / 10";"37173";"0";"20049";"0";"17132";"18035";"1015"
