"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855349.7464";"около 18 сотен";"50";"недовольный";"15";"296";"10";"11 месяцев";"около 62 тысяч";"79";"9 / 5";"36916";"0";"18140";"14978";"23267";"18129";"6009"
"1463859214.49791";"около 18 сотен";"50";"недовольный";"15";"296";"10";"11 месяцев";"около 62 тысяч";"79";"9 / 5";"36916";"0";"18155";"14993";"23290";"18142";"6030"
"1463902399.96895";"около тысячи";"50";"недовольный";"17";"296";"10";"11 месяцев";"около 62 тысяч";"79";"9 / 5";"36916";"0";"17886";"14816";"22866";"17906";"0"
"1463945601.82327";"около 2 тысяч";"50";"нейтральный";"17";"296";"10";"11 месяцев";"около 62 тысяч";"79";"9 / 5";"36916";"0";"18110";"14929";"23037";"18126";"0"
"1463988799.65079";"около 2 тысяч";"50";"нейтральный";"17";"296";"10";"11 месяцев";"около 62 тысяч";"79";"9 / 5";"36916";"0";"17889";"14791";"22810";"17923";"0"
"1464032003.32619";"около 2 тысяч";"50";"нейтральный";"17";"296";"10";"11 месяцев";"около 62 тысяч";"79";"9 / 5";"36916";"0";"18115";"14916";"23064";"18132";"0"
"1464075198.50523";"около 2 тысяч";"50";"нейтральный";"17";"296";"10";"11 месяцев";"около 62 тысяч";"79";"9 / 5";"36916";"0";"17917";"14780";"22816";"17943";"0"
"1464118400.07538";"около 2 тысяч";"50";"нейтральный";"17";"296";"10";"11 месяцев";"около 62 тысяч";"79";"9 / 5";"36916";"0";"18179";"14874";"23091";"18181";"0"
"1464161599.69288";"около 3 тысяч";"50";"нейтральный";"21";"296";"11";"11 месяцев";"около 63 тысяч";"79";"9 / 5";"36916";"0";"17919";"13802";"22462";"17877";"0"
"1464204798.93931";"около 2 сотен";"50";"нейтральный";"21";"296";"11";"11 месяцев";"около 63 тысяч";"80";"9 / 5";"36916";"0";"18163";"13930";"23281";"18125";"0"
"1464247998.56135";"около 2 тысяч";"50";"нейтральный";"22";"296";"11";"11 месяцев";"около 63 тысяч";"80";"9 / 5";"36916";"0";"17900";"13779";"22886";"17862";"0"
"1464291203.47242";"около 2 тысяч";"50";"нейтральный";"22";"296";"11";"11 месяцев";"около 63 тысяч";"80";"9 / 5";"36916";"0";"18143";"13846";"23073";"18079";"0"
"1464334403.4263";"около 2 тысяч";"50";"недовольный";"24";"296";"11";"11 месяцев";"около 63 тысяч";"80";"9 / 5";"36916";"0";"17906";"13689";"22757";"17865";"5996"
