"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855365.10552";"около 3 тысяч";"76";"нейтральный";"820";"400";"";"5 лет 2 месяца";"около 191 тысяч";"188";"55 / 612";"8745";"15557";"0";"6619";"0";"12471";"9074";"0"
"1463859229.82312";"около 3 тысяч";"76";"нейтральный";"820";"400";"";"5 лет 2 месяца";"около 191 тысяч";"188";"55 / 612";"8747";"15557";"0";"6622";"0";"12483";"9082";"0"
"1463902415.29209";"около 3 тысяч";"76";"нейтральный";"820";"400";"";"5 лет 2 месяца";"около 191 тысяч";"188";"55 / 612";"8751";"15557";"0";"6557";"0";"12383";"9019";"0"
"1463945617.18514";"около 3 тысяч";"76";"нейтральный";"820";"400";"";"5 лет 2 месяца";"около 191 тысяч";"188";"55 / 612";"8752";"15557";"0";"6617";"0";"12480";"9090";"0"
"1463988815.00009";"около 22 тысяч";"76";"нейтральный";"824";"400";"";"5 лет 2 месяца";"около 191 тысяч";"188";"55 / 612";"8731";"15557";"0";"6558";"0";"12246";"8975";"0"
"1464032018.68562";"около 21 тысяч";"76";"нейтральный";"824";"400";"";"5 лет 2 месяца";"около 191 тысяч";"188";"55 / 612";"8733";"15557";"0";"6603";"0";"12362";"9059";"0"
"1464075213.83354";"около 4 тысяч";"76";"нейтральный";"824";"400";"";"5 лет 2 месяца";"около 192 тысяч";"189";"55 / 612";"8732";"15557";"0";"6564";"0";"12428";"9013";"0"
"1464118415.41899";"около 8 тысяч";"76";"нейтральный";"831";"400";"";"5 лет 2 месяца";"около 192 тысяч";"189";"55 / 612";"8730";"15557";"0";"6617";"0";"12570";"9073";"0"
"1464161615.02632";"около 8 тысяч";"76";"нейтральный";"831";"400";"";"5 лет 2 месяца";"около 192 тысяч";"189";"55 / 612";"8735";"15557";"0";"6534";"0";"12401";"8982";"0"
"1464204814.29234";"около 14 тысяч";"76";"нейтральный";"833";"400";"";"5 лет 2 месяца";"около 192 тысяч";"189";"55 / 612";"8735";"15557";"0";"6575";"0";"12508";"9047";"0"
"1464248013.93437";"около 4 тысяч";"76";"нейтральный";"833";"400";"";"5 лет 2 месяца";"около 192 тысяч";"189";"55 / 612";"8723";"15557";"0";"6528";"0";"12347";"8936";"0"
"1464291218.81033";"около 7 тысяч";"76";"нейтральный";"835";"400";"";"5 лет 2 месяца";"около 192 тысяч";"189";"55 / 612";"8725";"15557";"0";"6593";"0";"12476";"9020";"0"
"1464334418.77101";"около 2 тысяч";"76";"нейтральный";"837";"400";"";"5 лет 2 месяца";"около 192 тысяч";"190";"55 / 612";"8725";"15557";"0";"6536";"0";"12501";"8948";"0"
