"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855406.05616";"около 5 тысяч";"80";"миролюбивый";"1010";"416";"2";"5 лет 12 месяцев";"около 208 тысяч";"137";"65 / 73";"6456";"8905";"20212";"4607";"24098";"4453";"6298";"6270"
"1463859270.71279";"около 5 тысяч";"80";"миролюбивый";"1010";"416";"2";"5 лет 12 месяцев";"около 208 тысяч";"137";"65 / 73";"6456";"8905";"20213";"4608";"24123";"4454";"6302";"6365"
"1463902456.16649";"ни одного";"80";"миролюбивый";"1011";"416";"2";"5 лет 12 месяцев";"около 208 тысяч";"137";"65 / 73";"6456";"8905";"20215";"4578";"23633";"4429";"6235";"5932"
"1463945658.11279";"около 3 тысяч";"80";"миролюбивый";"1012";"416";"2";"5 лет 12 месяцев";"около 208 тысяч";"137";"65 / 73";"6451";"8905";"20217";"4626";"23857";"4460";"6274";"6338"
"1463988855.91555";"около 5 тысяч";"80";"миролюбивый";"1013";"416";"2";"5 лет 12 месяцев";"около 209 тысяч";"138";"65 / 73";"6416";"8905";"20222";"4591";"23453";"4482";"6240";"6218"
"1464032059.74755";"около 3 тысяч";"80";"миролюбивый";"1013";"416";"3";"5 лет 12 месяцев";"около 209 тысяч";"138";"65 / 73";"6416";"8905";"20227";"4632";"23219";"4513";"6271";"5691"
"1464075254.70835";"около 7 тысяч";"80";"миролюбивый";"1014";"416";"3";"5 лет 12 месяцев";"около 209 тысяч";"138";"65 / 73";"6415";"8905";"20231";"4601";"22841";"4479";"6234";"5583"
"1464118456.36493";"около 33 тысяч";"80";"миролюбивый";"1016";"416";"3";"5 лет 12 месяцев";"около 209 тысяч";"138";"65 / 73";"6414";"8905";"20236";"4632";"23057";"4512";"6272";"5667"
"1464161655.93164";"около 11 тысяч";"80";"миролюбивый";"1016";"416";"3";"5 лет 12 месяцев";"около 209 тысяч";"138";"65 / 73";"6412";"8905";"20241";"4568";"22606";"4465";"6228";"5230"
"1464204855.2168";"около 7 тысяч";"80";"миролюбивый";"1016";"416";"3";"5 лет 12 месяцев";"около 209 тысяч";"138";"65 / 73";"6393";"8905";"20247";"4578";"22869";"4497";"6275";"5874"
"1464248054.8589";"около 7 тысяч";"80";"миролюбивый";"1016";"416";"3";"5 лет 12 месяцев";"около 209 тысяч";"138";"65 / 73";"6394";"8905";"20253";"4540";"22472";"4438";"6237";"6292"
"1464291259.76251";"около 17 сотен";"80";"миролюбивый";"1016";"416";"4";"5 лет 12 месяцев";"около 209 тысяч";"139";"65 / 73";"6395";"8905";"20261";"4590";"22706";"4486";"6296";"6878"
"1464334459.7032";"около 5 тысяч";"80";"миролюбивый";"1016";"416";"4";"5 лет 12 месяцев";"около 209 тысяч";"139";"65 / 73";"6391";"8905";"20259";"4587";"21802";"4529";"6238";"7454"
