"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855426.54202";"около 5 тысяч";"72";"добродушный";"824";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11228";"22241";"0";"8651";"0";"11337";"8719";"10927"
"1463859291.2442";"около 7 тысяч";"72";"добродушный";"824";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11226";"22241";"0";"8657";"0";"11312";"8726";"9693"
"1463902476.60695";"около 4 тысяч";"72";"добродушный";"825";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11229";"22241";"0";"8585";"0";"11231";"8667";"10134"
"1463945683.84799";"около 5 тысяч";"72";"миролюбивый";"826";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11224";"22241";"0";"8581";"0";"11310";"8728";"8636"
"1463988876.39084";"около 5 тысяч";"72";"миролюбивый";"826";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11228";"22241";"0";"8485";"0";"11168";"8657";"9073"
"1464032080.25314";"около 10 тысяч";"72";"миролюбивый";"828";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11222";"22241";"0";"8487";"0";"11241";"8705";"9477"
"1464075275.16063";"около 10 тысяч";"72";"добродушный";"828";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11223";"22241";"0";"8430";"0";"11163";"8654";"9871"
"1464118476.82921";"около 5 тысяч";"72";"добродушный";"830";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11217";"22241";"0";"8481";"0";"11254";"8701";"9667"
"1464161676.38949";"около 5 тысяч";"72";"добродушный";"830";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11223";"22241";"0";"8378";"0";"11097";"8619";"10101"
"1464204875.7012";"около 5 тысяч";"72";"миролюбивый";"831";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11212";"22241";"0";"8479";"0";"11197";"8679";"9608"
"1464248075.32577";"около 5 тысяч";"72";"миролюбивый";"831";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11216";"22241";"0";"8369";"0";"11023";"8594";"9981"
"1464291280.34046";"около 5 тысяч";"72";"добродушный";"831";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11221";"22241";"0";"8465";"0";"11178";"8677";"10536"
"1464334480.20845";"около 5 тысяч";"72";"добродушный";"831";"384";"";"3 года 8 месяцев";"около 195 тысяч";"185";"17 / 16";"11222";"22241";"0";"8384";"0";"11063";"8614";"11051"
