"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855436.77524";"около 5 тысяч";"78";"нейтральный";"910";"408";"";"5 лет 8 месяцев";"около 205 тысяч";"189";"72 / 86";"7313";"10724";"18372";"5251";"0";"10387";"7421";"0"
"1463859301.4524";"около 5 тысяч";"78";"нейтральный";"910";"408";"";"5 лет 8 месяцев";"около 205 тысяч";"189";"72 / 86";"7313";"10724";"18371";"5255";"0";"10394";"7427";"0"
"1463902486.81264";"около 5 тысяч";"78";"нейтральный";"910";"408";"";"5 лет 8 месяцев";"около 205 тысяч";"189";"72 / 86";"7315";"10724";"18375";"5219";"0";"10321";"7376";"0"
"1463945694.07346";"около 5 тысяч";"78";"нейтральный";"910";"408";"";"5 лет 8 месяцев";"около 205 тысяч";"189";"72 / 86";"7319";"10724";"18379";"5252";"0";"10425";"7428";"0"
"1463988886.60354";"около 5 тысяч";"78";"нейтральный";"910";"408";"";"5 лет 8 месяцев";"около 205 тысяч";"189";"72 / 86";"7322";"10724";"18385";"5207";"0";"10297";"7381";"0"
"1464032090.48719";"около 5 тысяч";"78";"нейтральный";"910";"408";"";"5 лет 8 месяцев";"около 205 тысяч";"189";"72 / 86";"7330";"10724";"18392";"5255";"0";"10383";"7437";"0"
"1464075285.36663";"около 5 тысяч";"78";"нейтральный";"910";"408";"";"5 лет 8 месяцев";"около 205 тысяч";"189";"72 / 86";"7334";"10724";"18393";"0";"0"
"1464118487.03725";"около 5 тысяч";"78";"нейтральный";"910";"408";"";"5 лет 8 месяцев";"около 205 тысяч";"189";"72 / 86";"7338";"10724";"18399";"0";"0"
"1464161686.62269";"около 5 тысяч";"78";"нейтральный";"910";"408";"";"5 лет 8 месяцев";"около 205 тысяч";"189";"72 / 86";"7339";"10724";"18401";"0";"0"
"1464204885.91448";"ни одного";"78";"нейтральный";"922";"408";"";"5 лет 8 месяцев";"около 206 тысяч";"191";"72 / 86";"7294";"10724";"18409";"5282";"0";"10644";"7403";"0"
"1464248085.54411";"ни одного";"78";"нейтральный";"922";"408";"";"5 лет 8 месяцев";"около 206 тысяч";"191";"72 / 86";"7295";"10724";"18414";"5232";"0";"10477";"7344";"0"
"1464291290.56033";"ни одного";"78";"нейтральный";"922";"408";"";"5 лет 8 месяцев";"около 206 тысяч";"191";"72 / 86";"7298";"10724";"18422";"5292";"0";"10617";"7409";"0"
"1464334490.48861";"ни одного";"78";"нейтральный";"922";"408";"";"5 лет 8 месяцев";"около 206 тысяч";"191";"72 / 86";"7304";"10724";"18427";"5265";"0";"10499";"7356";"0"
