"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855441.91495";"около 3 тысяч";"71";"нейтральный";"822";"380";"";"4 года 10 месяцев";"около 177 тысяч";"152";"49 / 48";"12713";"17339";"0";"7963";"0";"8697";"9541";"0"
"1463859306.57821";"около 3 тысяч";"71";"нейтральный";"822";"380";"";"4 года 10 месяцев";"около 177 тысяч";"152";"49 / 48";"12713";"17339";"0";"7971";"0";"8705";"9548";"0"
"1463902491.94027";"около 3 тысяч";"71";"нейтральный";"822";"380";"";"4 года 10 месяцев";"около 177 тысяч";"152";"49 / 48";"12717";"17339";"0";"7897";"0";"8636";"9484";"0"
"1463945699.18669";"около 3 тысяч";"71";"нейтральный";"822";"380";"";"4 года 10 месяцев";"около 177 тысяч";"152";"49 / 48";"12720";"17339";"0";"7975";"0";"8723";"9561";"0"
"1463988891.70969";"около 4 тысяч";"71";"нейтральный";"826";"380";"";"4 года 10 месяцев";"около 177 тысяч";"152";"49 / 48";"12694";"17339";"0";"7967";"0";"8558";"9456";"0"
"1464032095.61787";"около 4 тысяч";"71";"нейтральный";"826";"380";"";"4 года 10 месяцев";"около 177 тысяч";"152";"49 / 48";"12698";"17339";"0";"8036";"0";"8647";"9539";"0"
"1464075290.47511";"около 5 тысяч";"71";"нейтральный";"834";"380";"";"4 года 11 месяцев";"около 177 тысяч";"152";"49 / 48";"12690";"17339";"0";"8004";"0";"8543";"9481";"0"
"1464118492.14394";"около тысячи";"71";"нейтральный";"834";"380";"";"4 года 11 месяцев";"около 177 тысяч";"152";"49 / 48";"12688";"17339";"0";"8061";"0";"8646";"9548";"0"
"1464161691.73235";"около тысячи";"71";"нейтральный";"834";"380";"";"4 года 11 месяцев";"около 177 тысяч";"152";"49 / 48";"12694";"17339";"0";"7964";"0";"8546";"9448";"0"
"1464204891.0257";"около тысячи";"71";"нейтральный";"834";"380";"";"4 года 11 месяцев";"около 177 тысяч";"152";"49 / 48";"12699";"17339";"0";"8050";"0";"8653";"9547";"0"
"1464248090.65581";"около тысячи";"71";"нейтральный";"834";"380";"";"4 года 11 месяцев";"около 177 тысяч";"152";"49 / 48";"12700";"17339";"0";"7951";"0";"8527";"9440";"0"
"1464291295.68212";"около тысячи";"71";"нейтральный";"834";"380";"";"4 года 11 месяцев";"около 177 тысяч";"152";"49 / 48";"12707";"17339";"0";"8045";"0";"8648";"9537";"0"
"1464334495.58914";"около тысячи";"71";"нейтральный";"834";"380";"";"4 года 11 месяцев";"около 177 тысяч";"152";"49 / 48";"12713";"17339";"0";"7974";"0";"8541";"9462";"0"
