"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855447.03891";"около 3 тысяч";"70";"нейтральный";"919";"376";"";"3 года 11 месяцев";"около 167 тысяч";"144";"28 / 15";"13056";"17778";"0";"7644";"0";"8739";"8696";"0"
"1463859311.68367";"около 3 тысяч";"70";"нейтральный";"919";"376";"";"3 года 11 месяцев";"около 167 тысяч";"144";"28 / 15";"13058";"17778";"0";"7649";"0";"8748";"8703";"0"
"1463902497.07537";"около 6 тысяч";"70";"нейтральный";"921";"376";"";"3 года 11 месяцев";"около 167 тысяч";"144";"28 / 15";"13024";"17778";"0";"7579";"0";"8617";"8625";"0"
"1463945704.31536";"около 6 тысяч";"70";"нейтральный";"922";"376";"";"3 года 11 месяцев";"около 168 тысяч";"144";"28 / 15";"13021";"17778";"0";"7642";"0";"8698";"8684";"0"
"1463988896.834";"около 6 тысяч";"70";"нейтральный";"922";"376";"";"3 года 11 месяцев";"около 168 тысяч";"144";"28 / 15";"13028";"17778";"0";"7567";"0";"8575";"8616";"0"
"1464032100.78983";"около 17 сотен";"70";"нейтральный";"922";"376";"";"3 года 11 месяцев";"около 168 тысяч";"145";"28 / 15";"13035";"17778";"0";"7631";"0";"8829";"8683";"0"
"1464075295.59352";"около 6 тысяч";"70";"нейтральный";"923";"376";"";"3 года 11 месяцев";"около 168 тысяч";"145";"28 / 15";"13032";"17778";"0";"7587";"0";"8754";"8632";"0"
"1464118497.25014";"около 8 тысяч";"70";"нейтральный";"924";"376";"";"3 года 11 месяцев";"около 168 тысяч";"145";"28 / 15";"13028";"17778";"0";"7603";"0";"8846";"8682";"0"
"1464161696.83897";"около 8 тысяч";"70";"нейтральный";"924";"376";"";"3 года 11 месяцев";"около 168 тысяч";"145";"28 / 15";"13037";"17778";"0";"7514";"0";"8732";"8601";"0"
"1464204896.12713";"около 3 тысяч";"70";"нейтральный";"925";"376";"";"3 года 11 месяцев";"около 168 тысяч";"145";"28 / 15";"13024";"17778";"0";"7590";"0";"8810";"8630";"0"
"1464248095.78933";"около 3 тысяч";"70";"нейтральный";"925";"376";"";"3 года 11 месяцев";"около 168 тысяч";"145";"28 / 15";"13029";"17778";"0";"7496";"0";"8665";"8549";"0"
"1464291300.78425";"около 6 тысяч";"70";"нейтральный";"926";"376";"";"3 года 11 месяцев";"около 168 тысяч";"145";"28 / 15";"13016";"17778";"0";"7573";"0";"8781";"8625";"0"
"1464334500.69965";"около 6 тысяч";"70";"нейтральный";"926";"376";"";"3 года 11 месяцев";"около 168 тысяч";"145";"28 / 15";"13021";"17778";"0";"7502";"0";"8675";"8563";"0"
