"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855503.36334";"около 10 тысяч";"83";"добродушный";"1007";"428";"";"6 лет 5 месяцев";"около 263 тысяч";"205";"142 / 93";"5024";"4228";"4156";"3252";"0";"6829";"5965";"14134"
"1463859367.93829";"около 10 тысяч";"83";"добродушный";"1007";"428";"";"6 лет 5 месяцев";"около 263 тысяч";"205";"142 / 93";"5024";"4228";"4156";"3254";"0";"6836";"5968";"14199"
"1463902553.37893";"около 10 тысяч";"83";"беззлобный";"1007";"428";"";"6 лет 5 месяцев";"около 263 тысяч";"205";"142 / 93";"5029";"4228";"4157";"3241";"0";"6791";"5939";"14509"
"1463945760.8101";"около 17 тысяч";"83";"беззлобный";"1014";"428";"";"6 лет 5 месяцев";"около 263 тысяч";"205";"142 / 93";"5021";"4228";"4156";"3260";"0";"6830";"5961";"15012"
"1463988953.1792";"около 17 тысяч";"83";"беззлобный";"1014";"428";"";"6 лет 5 месяцев";"около 263 тысяч";"205";"142 / 93";"5024";"4228";"4157";"3233";"0";"6742";"5930";"15366"
"1464032157.22149";"около 7 тысяч";"83";"беззлобный";"1015";"428";"";"6 лет 5 месяцев";"около 263 тысяч";"205";"142 / 93";"5012";"4228";"4158";"3243";"0";"6778";"5956";"15881"
"1464075351.85164";"около 20 тысяч";"83";"беззлобный";"1016";"428";"";"6 лет 5 месяцев";"около 263 тысяч";"205";"142 / 93";"5010";"4228";"4159";"3212";"0";"6706";"5927";"16212"
"1464118553.51874";"около 25 тысяч";"83";"беззлобный";"1016";"428";"";"6 лет 5 месяцев";"около 263 тысяч";"205";"142 / 93";"5010";"4228";"4162";"3241";"0";"6781";"5962";"16729"
"1464161753.11427";"около 25 тысяч";"83";"беззлобный";"1016";"428";"";"6 лет 5 месяцев";"около 263 тысяч";"205";"142 / 93";"5014";"4228";"4165";"3217";"0";"6713";"5924";"17025"
"1464204952.45491";"около 4 тысяч";"83";"беззлобный";"1016";"428";"";"6 лет 5 месяцев";"около 263 тысяч";"205";"142 / 93";"5013";"4228";"4165";"3190";"0";"6770";"5954";"17530"
"1464248152.05119";"около 4 тысяч";"83";"беззлобный";"1016";"428";"";"6 лет 5 месяцев";"около 263 тысяч";"205";"142 / 93";"5019";"4228";"4164";"3174";"0";"6690";"5927";"15669"
"1464291357.18497";"около тысячи";"83";"беззлобный";"1017";"428";"";"6 лет 5 месяцев";"около 264 тысяч";"205";"142 / 93";"5021";"4228";"4165";"3205";"0";"6769";"5967";"15782"
"1464334557.00638";"около 5 тысяч";"83";"беззлобный";"1019";"428";"";"6 лет 5 месяцев";"около 264 тысяч";"205";"142 / 93";"5022";"4228";"4166";"3180";"0";"6677";"5928";"16167"
