"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855559.63363";"около 3 тысяч";"70";"миролюбивый";"913";"376";"42";"2 года 5 месяцев";"около 137 тысяч";"142";"191 / 134";"12930";"24754";"2820";"9017";"1121";"14249";"6869";"9277"
"1463859424.2628";"около 3 тысяч";"70";"миролюбивый";"913";"376";"42";"2 года 5 месяцев";"около 137 тысяч";"142";"191 / 134";"12930";"24754";"2820";"9012";"1121";"14260";"6874";"9361"
"1463902609.58851";"неизвестно";"70";"добродушный";"914";"376";"42";"2 года 5 месяцев";"около 137 тысяч";"142";"191 / 134";"12929";"24754";"2821";"8918";"1116";"14115";"6831";"9813"
"1463945817.09476";"около 3 тысяч";"70";"добродушный";"914";"376";"42";"2 года 5 месяцев";"около 137 тысяч";"142";"191 / 134";"12924";"24754";"2822";"9032";"1122";"14228";"6870";"10444"
"1463989009.38894";"около 8 сотен";"70";"добродушный";"914";"376";"42";"2 года 5 месяцев";"около 137 тысяч";"142";"191 / 134";"12918";"24754";"2821";"8906";"1118";"14031";"6833";"10875"
"1464032213.57859";"около тысячи";"70";"добродушный";"914";"376";"42";"2 года 5 месяцев";"около 138 тысяч";"142";"191 / 134";"12913";"24754";"2819";"8985";"1122";"14127";"6884";"11458"
"1464075408.07959";"около 10 тысяч";"70";"добродушный";"921";"376";"42";"2 года 5 месяцев";"около 138 тысяч";"142";"191 / 134";"12905";"24754";"2819";"8921";"1119";"13996";"6855";"11839"
"1464118609.76078";"около 5 тысяч";"70";"добродушный";"921";"376";"42";"2 года 5 месяцев";"около 138 тысяч";"142";"191 / 134";"12899";"24754";"2821";"9000";"1122";"14132";"6887";"10964"
"1464161809.35002";"около 5 тысяч";"70";"добродушный";"921";"376";"42";"2 года 5 месяцев";"около 138 тысяч";"142";"191 / 134";"12901";"24754";"2824";"8898";"1111";"13947";"6830";"11329"
"1464205008.7361";"около 5 тысяч";"70";"добродушный";"921";"376";"42";"2 года 5 месяцев";"около 138 тысяч";"142";"191 / 134";"12907";"24754";"2824";"9001";"1115";"14131";"6884";"11891"
"1464248208.27674";"около 5 тысяч";"70";"добродушный";"921";"376";"42";"2 года 5 месяцев";"около 138 тысяч";"142";"191 / 134";"12913";"24754";"2825";"8873";"1094";"13917";"6841";"12243"
"1464291413.55157";"около тысячи";"71";"добродушный";"923";"380";"42";"2 года 5 месяцев";"около 138 тысяч";"143";"191 / 134";"12844";"24754";"2824";"8965";"1096";"14270";"6883";"12024"
"1464334613.18847";"около 2 тысяч";"71";"добродушный";"923";"380";"42";"2 года 5 месяцев";"около 138 тысяч";"143";"191 / 134";"12838";"24754";"2825";"8894";"1083";"14083";"6812";"11013"
