"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855580.10243";"около 3 тысяч";"81";"нейтральный";"820";"420";"";"6 лет 13 месяцев";"около 278 тысяч";"243";"68 / 86";"5906";"3882";"20360";"2492";"0";"9093";"7397";"0"
"1463859444.74366";"около 3 тысяч";"81";"нейтральный";"820";"420";"";"6 лет 13 месяцев";"около 278 тысяч";"243";"68 / 86";"5906";"3882";"20360";"2494";"0";"9099";"7402";"0"
"1463902630.03179";"около 3 тысяч";"81";"нейтральный";"820";"420";"";"7 лет 1 месяц";"около 278 тысяч";"243";"68 / 86";"5909";"3882";"20360";"2492";"0";"9029";"7355";"0"
"1463945837.63468";"около 3 тысяч";"81";"нейтральный";"820";"420";"";"7 лет 1 месяц";"около 278 тысяч";"243";"68 / 86";"5911";"3882";"20366";"2504";"0";"9135";"7401";"0"
"1463989029.89453";"около 3 тысяч";"81";"нейтральный";"820";"420";"";"7 лет 1 месяц";"около 278 тысяч";"243";"68 / 86";"5915";"3882";"20370";"2488";"0";"9018";"7350";"0"
"1464032234.0804";"около 3 тысяч";"81";"нейтральный";"820";"420";"";"7 лет 1 месяц";"около 278 тысяч";"243";"68 / 86";"5917";"3882";"20376";"2500";"0";"9115";"7409";"0"
"1464075428.52046";"около 3 тысяч";"81";"нейтральный";"820";"420";"";"7 лет 1 месяц";"около 278 тысяч";"243";"68 / 86";"5918";"3882";"20377";"2486";"0";"9053";"7369";"0"
"1464118630.22292";"около 3 тысяч";"81";"нейтральный";"820";"420";"";"7 лет 1 месяц";"около 278 тысяч";"243";"68 / 86";"5920";"3882";"20380";"2496";"0";"9160";"7414";"0"
"1464161829.82416";"около 3 тысяч";"81";"нейтральный";"820";"420";"";"7 лет 1 месяц";"около 278 тысяч";"243";"68 / 86";"5922";"3882";"20386";"0";"0"
"1464205029.2604";"около 3 тысяч";"81";"нейтральный";"824";"420";"";"7 лет 1 месяц";"около 279 тысяч";"244";"68 / 86";"5911";"3882";"20390";"2476";"0";"9182";"7377";"0"
"1464248228.74818";"около 3 тысяч";"81";"нейтральный";"824";"420";"";"7 лет 1 месяц";"около 279 тысяч";"244";"68 / 86";"5914";"3882";"20395";"2470";"0";"9032";"7320";"0"
"1464291434.02812";"около 3 тысяч";"81";"нейтральный";"824";"420";"";"7 лет 1 месяц";"около 279 тысяч";"244";"68 / 86";"5914";"3882";"20401";"2483";"0";"9153";"7386";"0"
"1464334633.69362";"около 3 тысяч";"81";"нейтральный";"824";"420";"";"7 лет 1 месяц";"около 279 тысяч";"244";"68 / 86";"5916";"3882";"20404";"2471";"0";"9059";"7338";"0"
