"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855595.44135";"около 5 тысяч";"69";"добродушный";"830";"372";"37";"2 года 4 месяца";"около 132 тысяч";"123";"2 / 5";"14484";"25945";"0";"9661";"1613";"10743";"8168";"12733"
"1463859460.07092";"около 27 тысяч";"69";"добродушный";"831";"372";"37";"2 года 4 месяца";"около 132 тысяч";"123";"2 / 5";"14479";"25945";"0";"9668";"1614";"10756";"8175";"12288"
"1463902645.34416";"около 9 тысяч";"69";"добродушный";"831";"372";"37";"2 года 4 месяца";"около 132 тысяч";"123";"2 / 5";"14477";"25945";"0";"9562";"1607";"10677";"8115";"11924"
"1463945852.96305";"около 4 тысяч";"69";"добродушный";"833";"372";"37";"2 года 4 месяца";"около 132 тысяч";"123";"2 / 5";"14460";"25945";"0";"9637";"1613";"10762";"8167";"11727"
"1463989045.23425";"около 16 тысяч";"69";"добродушный";"834";"372";"37";"2 года 4 месяца";"около 132 тысяч";"123";"2 / 5";"14454";"25945";"0";"9520";"1606";"10595";"8098";"10896"
"1464032249.4677";"около 7 десятков";"69";"добродушный";"834";"372";"37";"2 года 4 месяца";"около 132 тысяч";"124";"2 / 5";"14457";"25945";"0";"9612";"1611";"10889";"8155";"11478"
"1464075443.85105";"около 11 тысяч";"69";"добродушный";"837";"372";"37";"2 года 4 месяца";"около 132 тысяч";"124";"2 / 5";"14452";"25945";"0";"9477";"1606";"10828";"8084";"14222"
"1464118645.54105";"около 11 тысяч";"69";"добродушный";"837";"372";"37";"2 года 4 месяца";"около 132 тысяч";"124";"2 / 5";"14430";"25945";"0";"9549";"1611";"10935";"8140";"12168"
"1464161845.16636";"около 9 тысяч";"69";"добродушный";"840";"372";"37";"2 года 4 месяца";"около 132 тысяч";"124";"2 / 5";"14425";"25945";"0";"9430";"1600";"10786";"8038";"11586"
"1464205044.57802";"около 3 тысяч";"69";"добродушный";"840";"372";"37";"2 года 4 месяца";"около 132 тысяч";"124";"2 / 5";"14419";"25945";"0";"9540";"1608";"10896";"8060";"10638"
"1464248244.14562";"около 20 тысяч";"69";"добродушный";"842";"372";"37";"2 года 4 месяца";"около 132 тысяч";"124";"2 / 5";"14405";"25945";"0";"9404";"1585";"10696";"7983";"10234"
"1464291449.35942";"около 6 тысяч";"69";"миролюбивый";"842";"372";"37";"2 года 4 месяца";"около 132 тысяч";"124";"2 / 5";"14399";"25945";"0";"9494";"1588";"10804";"8024";"9426"
"1464334649.03163";"около 12 тысяч";"69";"миролюбивый";"844";"372";"37";"2 года 4 месяца";"около 133 тысяч";"124";"2 / 5";"14389";"25945";"0";"9425";"1573";"10687";"7958";"9391"
