"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855656.99541";"около 5 тысяч";"63";"миролюбивый";"823";"348";"45";"1 год 5 месяцев";"около 100 тысяч";"49";"3 / 0";"21173";"26672";"0";"11882";"816";"1665";"5593";"8296"
"1463859521.48299";"около 5 тысяч";"63";"миролюбивый";"823";"348";"45";"1 год 5 месяцев";"около 100 тысяч";"49";"3 / 0";"21172";"26672";"0";"11893";"816";"1665";"5596";"8365"
"1463902706.63674";"около 8 тысяч";"63";"миролюбивый";"823";"348";"45";"1 год 5 месяцев";"около 100 тысяч";"49";"3 / 0";"21165";"26672";"0";"11763";"812";"1652";"5566";"7932"
"1463945914.31686";"около 4 тысяч";"63";"миролюбивый";"824";"348";"45";"1 год 5 месяцев";"около 100 тысяч";"49";"3 / 0";"21144";"26672";"0";"11880";"817";"1654";"5582";"8366"
"1463989106.62154";"около 8 тысяч";"63";"миролюбивый";"825";"348";"45";"1 год 5 месяцев";"около 100 тысяч";"49";"3 / 0";"21130";"26672";"0";"11710";"814";"1638";"5547";"8557"
"1464032311.03683";"около 7 тысяч";"63";"миролюбивый";"826";"348";"45";"1 год 5 месяцев";"около 100 тысяч";"49";"3 / 0";"21082";"26672";"0";"11815";"816";"1641";"5581";"9224"
"1464075505.18198";"около 6 тысяч";"63";"миролюбивый";"826";"348";"45";"1 год 5 месяцев";"около 100 тысяч";"49";"3 / 0";"21072";"26672";"0";"11690";"813";"1621";"5545";"9081"
"1464118706.93747";"около 4 тысяч";"63";"добродушный";"827";"348";"45";"1 год 5 месяцев";"около 100 тысяч";"49";"3 / 0";"21069";"26672";"0";"11844";"814";"1632";"5573";"9431"
"1464161906.52879";"около 7 тысяч";"63";"миролюбивый";"828";"348";"45";"1 год 5 месяцев";"около 100 тысяч";"49";"3 / 0";"21056";"26672";"0";"11693";"806";"1618";"5533";"9014"
"1464205105.92057";"около 9 тысяч";"63";"миролюбивый";"829";"348";"45";"1 год 5 месяцев";"около 100 тысяч";"49";"3 / 0";"21042";"26672";"0";"11829";"808";"1621";"5571";"8249"
"1464248305.55394";"около 13 тысяч";"63";"миролюбивый";"830";"348";"45";"1 год 5 месяцев";"около 100 тысяч";"49";"3 / 0";"21034";"26672";"0";"11681";"787";"1601";"5542";"8372"
"1464291510.75392";"около 13 тысяч";"63";"миролюбивый";"831";"348";"45";"1 год 5 месяцев";"около 101 тысяч";"49";"3 / 0";"21021";"26672";"0";"11832";"789";"1609";"5591";"8954"
"1464334710.3234";"около 11 тысяч";"63";"миролюбивый";"831";"348";"45";"1 год 5 месяцев";"около 101 тысяч";"49";"3 / 0";"21009";"26672";"0";"11692";"778";"1594";"5531";"8638"
