"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855713.22872";"около 3 сотен";"50";"миролюбивый";"10";"296";"";"3 года 7 месяцев";"около 62 тысяч";"106";"3 / 3";"36984";"0";"18087";"0";"35118";"18234";"3814"
"1463859577.67712";"около 3 сотен";"50";"миролюбивый";"10";"296";"";"3 года 7 месяцев";"около 62 тысяч";"106";"3 / 3";"36984";"0";"18104";"0";"35156";"18252";"3899"
"1463902762.7885";"около 3 тысяч";"50";"добродетельный";"10";"296";"";"3 года 7 месяцев";"около 62 тысяч";"106";"3 / 3";"36984";"0";"17731";"0";"34512";"18047";"3078"
"1463945970.55387";"около 19 тысяч";"50";"добродетельный";"12";"296";"";"3 года 7 месяцев";"около 62 тысяч";"106";"3 / 3";"36984";"0";"17864";"0";"34985";"18260";"2247"
"1463989162.8852";"около 6 тысяч";"50";"добродетельный";"12";"296";"";"3 года 7 месяцев";"около 62 тысяч";"106";"3 / 3";"36984";"0";"17647";"0";"34403";"18020";"2432"
"1464032367.3408";"около 8 тысяч";"50";"добродетельный";"13";"296";"";"3 года 7 месяцев";"около 63 тысяч";"106";"3 / 3";"36984";"0";"17875";"0";"34856";"18203";"2492"
"1464075562.15473";"около 6 тысяч";"50";"добродетельный";"13";"296";"";"3 года 7 месяцев";"около 63 тысяч";"106";"3 / 3";"36984";"0";"17673";"0";"34265";"17978";"3029"
"1464118763.16775";"около 3 тысяч";"50";"добродетельный";"13";"296";"";"3 года 7 месяцев";"около 63 тысяч";"106";"3 / 3";"36984";"0";"17930";"0";"34739";"18195";"2756"
"1464161962.76935";"около 3 тысяч";"50";"добродетельный";"13";"296";"";"3 года 7 месяцев";"около 63 тысяч";"106";"3 / 3";"36984";"0";"17592";"0";"34175";"17945";"3281"
"1464205162.20855";"около 5 тысяч";"50";"добродетельный";"13";"296";"";"3 года 7 месяцев";"около 63 тысяч";"106";"3 / 3";"36984";"0";"17957";"0";"34689";"18167";"3662"
"1464248361.768";"около 2 тысяч";"51";"добродетельный";"17";"300";"";"3 года 8 месяцев";"около 63 тысяч";"106";"3 / 3";"36984";"0";"17622";"0";"34034";"17908";"3444"
"1464291567.0518";"около 2 тысяч";"51";"добродетельный";"18";"300";"";"3 года 8 месяцев";"около 63 тысяч";"106";"3 / 3";"36984";"0";"17784";"0";"34493";"18109";"2692"
"1464334766.56688";"около 7 сотен";"51";"добродетельный";"18";"300";"";"3 года 8 месяцев";"около 63 тысяч";"106";"3 / 3";"36984";"0";"17579";"0";"33976";"17877";"2996"
