"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855728.56035";"около 16 сотен";"52";"нейтральный";"15";"304";"";"1 год 7 месяцев";"около 68 тысяч";"120";"0 / 1";"36857";"0";"16664";"0";"36354";"18161";"0"
"1463859593.01731";"около 18 сотен";"52";"нейтральный";"15";"304";"";"1 год 7 месяцев";"около 68 тысяч";"120";"0 / 1";"36857";"0";"16720";"0";"36406";"18178";"0"
"1463902778.10486";"около 5 тысяч";"52";"нейтральный";"15";"304";"";"1 год 7 месяцев";"около 68 тысяч";"120";"0 / 1";"36857";"0";"16518";"0";"35762";"17972";"0"
"1463945985.88383";"около 4 тысяч";"52";"нейтральный";"15";"304";"";"1 год 7 месяцев";"около 68 тысяч";"120";"0 / 1";"36857";"0";"16691";"0";"36258";"18185";"0"
"1463989178.21672";"около тысячи";"52";"нейтральный";"15";"304";"";"1 год 7 месяцев";"около 68 тысяч";"120";"0 / 1";"36857";"0";"16533";"0";"35627";"17968";"0"
"1464032382.67457";"около 3 тысяч";"52";"нейтральный";"20";"304";"";"1 год 7 месяцев";"около 68 тысяч";"120";"0 / 1";"36857";"0";"16681";"0";"36193";"18168";"0"
"1464075577.4759";"около 3 тысяч";"52";"нейтральный";"21";"304";"";"1 год 7 месяцев";"около 68 тысяч";"120";"0 / 1";"36857";"0";"16479";"0";"35539";"17962";"0"
"1464118778.51633";"около 15 сотен";"52";"беззлобный";"21";"304";"";"1 год 7 месяцев";"около 68 тысяч";"120";"0 / 1";"36857";"0";"16706";"0";"36113";"18202";"18474"
"1464161978.09117";"около 3 тысяч";"52";"нейтральный";"21";"304";"";"1 год 7 месяцев";"около 68 тысяч";"120";"0 / 1";"36857";"0";"18018";"0";"35468";"17965";"0"
"1464205177.53516";"около 8 тысяч";"52";"нейтральный";"22";"304";"";"1 год 7 месяцев";"около 68 тысяч";"120";"0 / 1";"36857";"0";"18168";"0";"36003";"18207";"0"
"1464248377.13007";"около 4 тысяч";"52";"нейтральный";"22";"304";"";"1 год 7 месяцев";"около 68 тысяч";"120";"0 / 1";"36857";"0";"17891";"0";"35368";"17947";"0"
"1464291582.37244";"около 8 сотен";"52";"беззлобный";"23";"304";"";"1 год 7 месяцев";"около 69 тысяч";"120";"0 / 1";"36857";"0";"16773";"0";"35850";"18121";"18972"
"1464334781.88571";"около тысячи";"52";"беззлобный";"23";"304";"";"1 год 7 месяцев";"около 69 тысяч";"120";"0 / 1";"36857";"0";"16570";"0";"35300";"17923";"19357"
