"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855743.91894";"около 6 тысяч";"52";"миролюбивый";"4";"304";"8";"1 год 11 месяцев";"около 70 тысяч";"92";"10 / 21";"37245";"0";"17725";"16860";"24731";"18566";"4161"
"1463859608.34981";"около 6 тысяч";"52";"миролюбивый";"4";"304";"8";"1 год 11 месяцев";"около 70 тысяч";"92";"10 / 21";"37245";"0";"17743";"16876";"24756";"18581";"4245"
"1463902793.44799";"около 9 тысяч";"52";"миролюбивый";"5";"304";"9";"1 год 11 месяцев";"около 70 тысяч";"92";"10 / 21";"37246";"0";"17528";"16643";"24478";"18385";"4698"
"1463946001.21683";"около 2 сотен";"52";"миролюбивый";"5";"304";"9";"1 год 11 месяцев";"около 70 тысяч";"93";"10 / 21";"37246";"0";"17687";"15966";"25199";"18579";"4487"
"1463989193.54952";"около 2 сотен";"52";"миролюбивый";"5";"304";"9";"1 год 11 месяцев";"около 70 тысяч";"93";"10 / 21";"37246";"0";"17472";"15792";"24924";"18376";"5009"
"1464032398.0381";"около 3 тысяч";"52";"миролюбивый";"7";"304";"9";"1 год 11 месяцев";"около 70 тысяч";"93";"10 / 21";"37246";"0";"17615";"15922";"25067";"18565";"4735"
"1464075592.8012";"около 3 тысяч";"52";"миролюбивый";"7";"304";"9";"1 год 11 месяцев";"около 70 тысяч";"93";"10 / 21";"37246";"0";"17406";"15738";"24776";"18352";"5224"
"1464118793.87841";"около 3 тысяч";"52";"миролюбивый";"8";"304";"9";"1 год 11 месяцев";"около 70 тысяч";"93";"10 / 21";"37246";"0";"17589";"15845";"25002";"18594";"4412"
"1464161993.41556";"около 3 тысяч";"52";"миролюбивый";"8";"304";"9";"1 год 11 месяцев";"около 70 тысяч";"93";"10 / 21";"37246";"0";"17330";"15598";"24663";"18345";"4862"
"1464205193.1109";"около 3 тысяч";"52";"миролюбивый";"8";"304";"9";"1 год 11 месяцев";"около 70 тысяч";"93";"10 / 21";"37246";"0";"17575";"15754";"24964";"18594";"5518"
"1464248392.46756";"около 4 тысяч";"52";"миролюбивый";"11";"304";"9";"1 год 11 месяцев";"около 71 тысяч";"93";"10 / 21";"37246";"0";"17320";"15545";"24437";"18308";"5053"
"1464291597.74663";"около 3 тысяч";"52";"миролюбивый";"16";"304";"10";"1 год 11 месяцев";"около 71 тысяч";"93";"10 / 21";"37246";"0";"17547";"14864";"24693";"18516";"4684"
"1464334797.21069";"около 3 тысяч";"52";"миролюбивый";"16";"304";"10";"1 год 11 месяцев";"около 71 тысяч";"93";"10 / 21";"37246";"0";"17339";"14684";"24434";"18311";"5300"
