"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855754.15915";"около 4 тысяч";"73";"нейтральный";"993";"388";"13";"4 года 10 месяцев";"около 188 тысяч";"156";"74 / 46";"10772";"13799";"11019";"6962";"11258";"7898";"8077";"0"
"1463859618.57758";"около 4 тысяч";"73";"нейтральный";"993";"388";"13";"4 года 10 месяцев";"около 188 тысяч";"156";"74 / 46";"10772";"13799";"11019";"6966";"11267";"7904";"8083";"0"
"1463902803.67872";"около 4 тысяч";"73";"нейтральный";"993";"388";"13";"4 года 10 месяцев";"около 188 тысяч";"156";"74 / 46";"10772";"13799";"11021";"6904";"11188";"7849";"8030";"0"
"1463946011.46632";"около 8 тысяч";"73";"нейтральный";"1003";"388";"13";"4 года 10 месяцев";"около 189 тысяч";"157";"74 / 46";"10736";"13799";"11023";"6961";"11276";"8000";"8075";"0"
"1463989203.78649";"около 8 тысяч";"73";"нейтральный";"1003";"388";"13";"4 года 11 месяцев";"около 189 тысяч";"157";"74 / 46";"10741";"13799";"11026";"6902";"11226";"7904";"8014";"0"
"1464032408.28921";"около 8 тысяч";"73";"нейтральный";"1003";"388";"13";"4 года 11 месяцев";"около 189 тысяч";"157";"74 / 46";"10744";"13799";"11030";"6955";"11295";"7976";"8079";"0"
"1464075603.028";"около 8 тысяч";"73";"нейтральный";"1003";"388";"13";"4 года 11 месяцев";"около 189 тысяч";"157";"74 / 46";"10745";"13799";"11032";"6911";"11207";"7919";"8033";"0"
"1464118804.15436";"около 8 тысяч";"73";"нейтральный";"1003";"388";"13";"4 года 11 месяцев";"около 189 тысяч";"157";"74 / 46";"10747";"13799";"11041";"6955";"11286";"8005";"8085";"0"
"1464162003.69735";"около 8 тысяч";"73";"нейтральный";"1003";"388";"13";"4 года 11 месяцев";"около 189 тысяч";"157";"74 / 46";"10750";"13799";"11040";"6868";"11165";"7914";"8007";"0"
"1464205203.35362";"около 8 тысяч";"73";"нейтральный";"1003";"388";"13";"4 года 11 месяцев";"около 189 тысяч";"157";"74 / 46";"10753";"13799";"11046";"6936";"11278";"8003";"8074";"0"
"1464248402.70448";"около 6 сотен";"73";"нейтральный";"1007";"388";"14";"4 года 11 месяцев";"около 189 тысяч";"158";"74 / 46";"10735";"13799";"11046";"6738";"10462";"7956";"7971";"0"
"1464291607.98945";"около 3 тысяч";"73";"нейтральный";"1007";"388";"14";"4 года 11 месяцев";"около 189 тысяч";"158";"74 / 46";"10733";"13799";"11051";"6816";"10536";"8062";"8042";"0"
"1464334807.4786";"около 3 тысяч";"73";"нейтральный";"1007";"388";"14";"4 года 11 месяцев";"около 189 тысяч";"158";"74 / 46";"10737";"13799";"11058";"6769";"10446";"7959";"7991";"0"
