"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855784.86207";"около 5 тысяч";"82";"нейтральный";"829";"424";"";"6 лет 8 месяцев";"около 274 тысяч";"213";"85 / 76";"5455";"6955";"11963";"3452";"0";"6799";"5325";"0"
"1463859649.34511";"около 5 тысяч";"82";"нейтральный";"829";"424";"";"6 лет 8 месяцев";"около 274 тысяч";"213";"85 / 76";"5455";"6955";"11964";"3456";"0";"6808";"5326";"0"
"1463902834.34332";"около 5 тысяч";"82";"нейтральный";"829";"424";"";"6 лет 8 месяцев";"около 274 тысяч";"213";"85 / 76";"5456";"6955";"11969";"3437";"0";"6754";"5301";"0"
"1463946042.18281";"около 5 тысяч";"82";"нейтральный";"829";"424";"";"6 лет 8 месяцев";"около 274 тысяч";"213";"85 / 76";"5461";"6955";"11968";"3449";"0";"6810";"5328";"0"
"1463989234.5099";"около 5 тысяч";"82";"нейтральный";"829";"424";"";"6 лет 8 месяцев";"около 274 тысяч";"213";"85 / 76";"5463";"6955";"11970";"3427";"0";"6718";"5304";"0"
"1464032438.94478";"ни одного";"82";"нейтральный";"832";"424";"";"6 лет 8 месяцев";"около 274 тысяч";"214";"85 / 76";"5459";"6955";"11976";"3459";"0";"6816";"5333";"0"
"1464075633.66619";"ни одного";"82";"нейтральный";"832";"424";"";"6 лет 8 месяцев";"около 274 тысяч";"214";"85 / 76";"5461";"6955";"11982";"3446";"0";"6756";"5305";"0"
"1464118834.83966";"ни одного";"82";"нейтральный";"832";"424";"";"6 лет 8 месяцев";"около 274 тысяч";"214";"85 / 76";"5461";"6955";"11987";"3469";"0";"6828";"5333";"0"
"1464162034.33264";"около 8 тысяч";"82";"нейтральный";"833";"424";"";"6 лет 8 месяцев";"около 274 тысяч";"214";"85 / 76";"5461";"6955";"11988";"3443";"0";"6763";"5296";"0"
"1464205233.99828";"около 3 тысяч";"82";"нейтральный";"833";"424";"";"6 лет 8 месяцев";"около 274 тысяч";"214";"85 / 76";"5461";"6955";"11992";"3449";"0";"6830";"5321";"0"
"1464248433.45316";"около 3 тысяч";"82";"нейтральный";"833";"424";"";"6 лет 9 месяцев";"около 274 тысяч";"214";"85 / 76";"5464";"6955";"11994";"3436";"0";"6750";"5299";"0"
"1464291638.65829";"около 7 тысяч";"82";"нейтральный";"835";"424";"";"6 лет 9 месяцев";"около 274 тысяч";"215";"85 / 76";"5464";"6955";"11992";"3469";"0";"6900";"5347";"0"
"1464334838.17714";"около 7 тысяч";"82";"нейтральный";"835";"424";"";"6 лет 9 месяцев";"около 274 тысяч";"215";"85 / 76";"5464";"6955";"11995";"3459";"0";"6804";"5317";"0"
