"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855851.68675";"около 4 десятков";"57";"нейтральный";"17";"324";"";"5 лет 10 месяцев";"около 90 тысяч";"128";"16 / 14";"36906";"0";"15289";"0";"28028";"18462";"0"
"1463859715.87338";"около 4 десятков";"57";"нейтральный";"17";"324";"";"5 лет 10 месяцев";"около 90 тысяч";"128";"16 / 14";"36906";"0";"15299";"0";"28055";"18476";"0"
"1463902900.82489";"около 4 десятков";"57";"нейтральный";"17";"324";"";"5 лет 10 месяцев";"около 90 тысяч";"128";"16 / 14";"36906";"0";"15105";"0";"27680";"18273";"0"
"1463946108.67571";"около 4 десятков";"57";"нейтральный";"17";"324";"";"5 лет 10 месяцев";"около 90 тысяч";"128";"16 / 14";"36906";"0";"15285";"0";"28053";"18497";"0"
"1463989301.00462";"около 4 десятков";"57";"нейтральный";"17";"324";"";"5 лет 10 месяцев";"около 90 тысяч";"128";"16 / 14";"36906";"0";"15095";"0";"27722";"18292";"0"
"1464032505.5518";"около 4 десятков";"57";"нейтральный";"17";"324";"";"5 лет 10 месяцев";"около 90 тысяч";"128";"16 / 14";"36906";"0";"15278";"0";"28053";"18508";"0"
"1464075702.8326";"около 4 десятков";"57";"нейтральный";"17";"324";"";"5 лет 10 месяцев";"около 90 тысяч";"128";"16 / 14";"36906";"0";"15112";"0";"27744";"18310";"0"
"1464118901.38484";"около 4 десятков";"57";"нейтральный";"17";"324";"";"5 лет 10 месяцев";"около 90 тысяч";"128";"16 / 14";"36906";"0";"15316";"0";"28108";"18559";"0"
"1464162100.84176";"около 2 тысяч";"57";"нейтральный";"21";"324";"";"5 лет 10 месяцев";"около 91 тысяч";"128";"16 / 14";"36906";"0";"14923";"0";"27463";"18264";"0"
"1464205300.55585";"около 2 тысяч";"57";"нейтральный";"21";"324";"";"5 лет 10 месяцев";"около 91 тысяч";"128";"16 / 14";"36906";"0";"15137";"0";"27859";"18517";"0"
"1464248500.02879";"около 2 тысяч";"57";"нейтральный";"21";"324";"";"5 лет 10 месяцев";"около 91 тысяч";"128";"16 / 14";"36906";"0";"14908";"0";"27449";"18251";"0"
"1464291705.17935";"около 2 тысяч";"57";"нейтральный";"21";"324";"";"5 лет 10 месяцев";"около 91 тысяч";"128";"16 / 14";"36906";"0";"15108";"0";"27811";"18474";"0"
"1464334904.89097";"около 2 тысяч";"57";"нейтральный";"21";"324";"";"5 лет 10 месяцев";"около 91 тысяч";"128";"16 / 14";"36906";"0";"14921";"0";"27483";"18278";"0"
