"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855887.47529";"около 10 тысяч";"69";"нейтральный";"799";"372";"11";"5 лет 2 месяца";"около 152 тысяч";"154";"14 / 3";"14509";"24460";"0";"8336";"13245";"13514";"8056";"0"
"1463859751.64223";"около 10 тысяч";"69";"нейтральный";"799";"372";"11";"5 лет 2 месяца";"около 152 тысяч";"154";"14 / 3";"14508";"24460";"0";"8342";"13256";"13530";"8058";"0"
"1463902936.65811";"около 10 тысяч";"69";"нейтральный";"800";"372";"11";"5 лет 2 месяца";"около 152 тысяч";"154";"14 / 3";"14502";"24460";"0";"8258";"13129";"13374";"8003";"0"
"1463946144.47959";"около 4 тысяч";"69";"нейтральный";"800";"372";"11";"5 лет 2 месяца";"около 152 тысяч";"154";"14 / 3";"14506";"24460";"0";"8345";"13216";"13469";"8037";"0"
"1463989336.89249";"около 7 тысяч";"69";"нейтральный";"801";"372";"11";"5 лет 2 месяца";"около 152 тысяч";"154";"14 / 3";"14503";"24460";"0";"8248";"13121";"13286";"7973";"0"
"1464032541.42861";"около 8 тысяч";"69";"нейтральный";"801";"372";"12";"5 лет 2 месяца";"около 152 тысяч";"154";"14 / 3";"14500";"24460";"0";"8321";"12491";"13351";"8027";"0"
"1464075738.59703";"около 4 десятков";"69";"нейтральный";"801";"372";"12";"5 лет 2 месяца";"около 152 тысяч";"155";"14 / 3";"14499";"24460";"0";"8230";"12373";"13531";"7979";"0"
"1464118937.17989";"около 12 тысяч";"69";"нейтральный";"807";"372";"12";"5 лет 2 месяца";"около 152 тысяч";"155";"14 / 3";"14497";"24460";"0";"8235";"12447";"13676";"8026";"0"
"1464162136.67691";"около 4 тысяч";"69";"нейтральный";"807";"372";"12";"5 лет 2 месяца";"около 152 тысяч";"155";"14 / 3";"14490";"24460";"0";"8141";"12292";"13477";"7948";"0"
"1464205336.37109";"около 2 тысяч";"69";"нейтральный";"808";"372";"12";"5 лет 2 месяца";"около 152 тысяч";"155";"14 / 3";"14486";"24460";"0";"8206";"12411";"13631";"8003";"0"
"1464248535.81958";"около 6 тысяч";"69";"нейтральный";"810";"372";"12";"5 лет 2 месяца";"около 153 тысяч";"155";"14 / 3";"14484";"24460";"0";"8098";"12286";"13377";"7921";"0"
"1464291740.98671";"около 3 тысяч";"69";"нейтральный";"810";"372";"12";"5 лет 2 месяца";"около 153 тысяч";"155";"14 / 3";"14479";"24460";"0";"8191";"12357";"13527";"7988";"0"
"1464334940.67494";"около 5 тысяч";"69";"нейтральный";"811";"372";"12";"5 лет 2 месяца";"около 153 тысяч";"155";"14 / 3";"14460";"24460";"0";"8057";"12238";"13363";"7933";"0"
