"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855943.82981";"около 5 тысяч";"75";"добродушный";"994";"396";"46";"3 года 2 месяца";"около 151 тысяч";"126";"5 / 21";"9426";"26022";"0";"6965";"745";"8051";"6115";"13729"
"1463859807.92022";"около 6 тысяч";"75";"добродушный";"994";"396";"46";"3 года 2 месяца";"около 151 тысяч";"126";"5 / 21";"9426";"26022";"0";"6969";"745";"8055";"6118";"13786"
"1463902992.94697";"около 8 тысяч";"75";"добродушный";"994";"396";"46";"3 года 2 месяца";"около 151 тысяч";"126";"5 / 21";"9424";"26022";"0";"6907";"742";"7974";"6085";"14114"
"1463946200.78641";"около 24 тысяч";"75";"добродушный";"996";"396";"46";"3 года 2 месяца";"около 151 тысяч";"126";"5 / 21";"9422";"26022";"0";"6946";"745";"8056";"6124";"11521"
"1463989393.15128";"около 4 тысяч";"75";"добродушный";"997";"396";"46";"3 года 2 месяца";"около 151 тысяч";"126";"5 / 21";"9370";"26022";"0";"6884";"743";"7944";"6085";"10671"
"1464032597.71573";"около 8 тысяч";"75";"добродушный";"997";"396";"46";"3 года 2 месяца";"около 151 тысяч";"126";"5 / 21";"9373";"26022";"0";"6910";"745";"8013";"6117";"11004"
"1464075794.91512";"около 3 тысяч";"75";"добродушный";"998";"396";"46";"3 года 2 месяца";"около 151 тысяч";"126";"5 / 21";"9374";"26022";"0";"6861";"741";"7932";"6080";"11407"
"1464118993.53573";"около 13 тысяч";"75";"добродушный";"1000";"396";"3 года 2 месяца";"около 151 тысяч";"126";"5 / 21";"9368";"26022";"0";"6904";"743";"8007";"6110";"11960"
"1464162192.94018";"около 7 тысяч";"75";"добродушный";"1000";"396";"3 года 2 месяца";"около 152 тысяч";"126";"5 / 21";"9368";"26022";"0";"6836";"734";"7896";"6054";"12325"
"1464205392.7837";"около тысячи";"75";"добродушный";"1000";"396";"3 года 2 месяца";"около 152 тысяч";"127";"5 / 21";"9367";"26022";"0";"6899";"736";"8126";"6095";"12896"
"1464248592.16904";"около 4 тысяч";"75";"добродушный";"1001";"396";"1";"3 года 2 месяца";"около 152 тысяч";"127";"5 / 21";"9367";"26022";"0";"6797";"716";"7989";"6062";"13271"
"1464291797.32099";"около 14 тысяч";"75";"добродушный";"1007";"396";"1";"3 года 2 месяца";"около 152 тысяч";"127";"5 / 21";"9373";"26022";"0";"6871";"718";"8092";"6112";"13753"
"1464334997.02051";"около 3 тысяч";"75";"добродушный";"1008";"396";"2";"3 года 2 месяца";"около 152 тысяч";"127";"5 / 21";"9340";"26022";"0";"6823";"706";"7980";"6065";"14206"
