"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463855949.12951";"около 7 тысяч";"49";"миролюбивый";"9";"292";"13";"0";"0";"0"
"1463859813.20639";"около 7 тысяч";"49";"миролюбивый";"9";"292";"13";"0";"0";"0"
"1463902998.23779";"около 7 тысяч";"49";"миролюбивый";"9";"292";"13";"0";"0";"0"
"1463946206.07735";"около 7 тысяч";"49";"миролюбивый";"9";"292";"13";"0";"0";"0"
"1463989398.44174";"около 7 тысяч";"49";"миролюбивый";"9";"292";"13";"0";"0";"0"
"1464032603.01027";"около 7 тысяч";"49";"миролюбивый";"9";"292";"13";"0";"0";"0"
"1464075800.25609";"около тысячи";"49";"миролюбивый";"10";"292";"13";"0";"0";"0"
"1464118998.83418";"около 5 тысяч";"49";"миролюбивый";"10";"292";"14";"0";"0";"0"
"1464162198.23474";"около 2 тысяч";"49";"миролюбивый";"11";"292";"14";"0";"0";"0"
"1464205398.09008";"около 5 тысяч";"49";"миролюбивый";"16";"292";"14";"0";"0";"0"
"1464248597.49203";"около 6 тысяч";"49";"миролюбивый";"16";"292";"14";"0";"0";"0"
"1464291802.60747";"около 2 тысяч";"49";"добродетельный";"16";"292";"14";"0";"0";"0"
"1464335002.31062";"около 2 тысяч";"49";"миролюбивый";"16";"292";"14";"0";"0";"0"
