"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463855969.75857";"около тысячи";"47";"миролюбивый";"3";"284";"8";"0";"0";"0"
"1463859833.85588";"около тысячи";"47";"миролюбивый";"3";"284";"8";"0";"0";"0"
"1463903018.87198";"ни одного";"47";"миролюбивый";"3";"284";"8";"0";"0";"0"
"1463946226.70709";"около 4 тысяч";"47";"миролюбивый";"4";"284";"8";"0";"0";"0"
"1463989419.06145";"около 3 тысяч";"47";"миролюбивый";"6";"284";"9";"0";"0";"0"
"1464032623.69032";"около 10 тысяч";"47";"миролюбивый";"6";"284";"9";"0";"0";"0"
"1464075820.92113";"около 6 тысяч";"47";"миролюбивый";"7";"284";"9";"0";"0";"0"
"1464119019.4616";"около 6 тысяч";"47";"миролюбивый";"7";"284";"9";"0";"0";"0"
"1464162218.87896";"около 7 тысяч";"48";"миролюбивый";"8";"288";"9";"0";"0";"0"
"1464205423.26046";"около 4 тысяч";"48";"миролюбивый";"8";"288";"9";"0";"0";"0"
"1464248618.1434";"около 3 тысяч";"48";"миролюбивый";"8";"288";"9";"0";"0";"0"
"1464291823.29969";"около 3 тысяч";"48";"миролюбивый";"8";"288";"9";"0";"0";"0"
"1464335022.94616";"около 3 тысяч";"48";"миролюбивый";"8";"288";"9";"0";"0";"0"
