"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855990.42623";"около 9 тысяч";"73";"миролюбивый";"811";"388";"";"7 лет 1 месяц";"около 142 тысяч";"165";"11 / 25";"10539";"26334";"0";"7025";"0";"19109";"7286";"8195"
"1463859854.54899";"около 9 тысяч";"73";"миролюбивый";"811";"388";"";"7 лет 1 месяц";"около 142 тысяч";"165";"11 / 25";"10539";"26334";"0";"7030";"0";"19131";"7290";"8267"
"1463903039.54367";"около 4 тысяч";"73";"миролюбивый";"812";"388";"";"7 лет 1 месяц";"около 142 тысяч";"165";"11 / 25";"10533";"26334";"0";"6947";"0";"18911";"7239";"7846"
"1463946247.42562";"около 19 тысяч";"73";"миролюбивый";"819";"388";"";"7 лет 1 месяц";"около 142 тысяч";"165";"11 / 25";"10532";"26334";"0";"6987";"0";"19081";"7279";"7957"
"1463989439.75118";"около 22 тысяч";"73";"миролюбивый";"819";"388";"";"7 лет 1 месяц";"около 142 тысяч";"165";"11 / 25";"10530";"26334";"0";"6922";"0";"18894";"7217";"7886"
"1464032644.4017";"около 21 тысяч";"73";"миролюбивый";"820";"388";"";"7 лет 1 месяц";"около 142 тысяч";"165";"11 / 25";"10524";"26334";"0";"6980";"0";"19048";"7253";"7670"
"1464075841.60494";"около 6 тысяч";"73";"миролюбивый";"821";"388";"";"7 лет 1 месяц";"около 143 тысяч";"165";"11 / 25";"10480";"26334";"0";"6919";"0";"18894";"7210";"7547"
"1464119040.13724";"около 4 сотен";"73";"миролюбивый";"822";"388";"";"7 лет 1 месяц";"около 143 тысяч";"166";"11 / 25";"10475";"26334";"0";"6978";"0";"19306";"7244";"6489"
"1464162239.54912";"около 26 тысяч";"73";"миролюбивый";"824";"388";"";"7 лет 1 месяц";"около 143 тысяч";"166";"11 / 25";"10468";"26334";"0";"6877";"0";"19058";"7178";"5775"
"1464205443.96106";"около 15 тысяч";"73";"миролюбивый";"826";"388";"";"7 лет 1 месяц";"около 143 тысяч";"166";"11 / 25";"10417";"26334";"0";"6926";"0";"19210";"7225";"5803"
"1464248638.80771";"около 18 тысяч";"74";"миролюбивый";"826";"392";"";"7 лет 1 месяц";"около 143 тысяч";"166";"11 / 25";"10409";"26334";"0";"6838";"0";"18951";"7168";"5648"
"1464291843.98023";"около 2 тысяч";"74";"миролюбивый";"826";"392";"";"7 лет 1 месяц";"около 143 тысяч";"166";"11 / 25";"10395";"26334";"0";"7934";"0";"19169";"7223";"5629"
"1464335043.78216";"около 10 тысяч";"74";"миролюбивый";"827";"392";"";"7 лет 2 месяца";"около 143 тысяч";"166";"11 / 25";"10393";"26334";"0";"7864";"0";"18917";"7176";"4918"
