"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856000.82131";"около 17 тысяч";"49";"миролюбивый";"17";"292";"11";"0";"0";"0"
"1463859864.93108";"ни одного";"49";"миролюбивый";"17";"292";"11";"0";"0";"0"
"1463903049.94476";"около 3 тысяч";"49";"миролюбивый";"18";"292";"12";"0";"0";"0"
"1463946257.862";"около 7 тысяч";"49";"миролюбивый";"18";"292";"12";"0";"0";"0"
"1463989450.18168";"около 8 тысяч";"49";"миролюбивый";"18";"292";"12";"0";"0";"0"
"1464032654.84361";"около 3 тысяч";"49";"миролюбивый";"20";"292";"12";"0";"0";"0"
"1464075852.01104";"около 3 тысяч";"49";"миролюбивый";"20";"292";"12";"0";"0";"0"
"1464119050.53916";"около 3 тысяч";"49";"миролюбивый";"20";"292";"12";"0";"0";"0"
"1464162249.99924";"около тысячи";"49";"добродушный";"20";"292";"12";"0";"0";"0"
"1464205454.36324";"около 3 тысяч";"49";"миролюбивый";"22";"292";"12";"0";"0";"0"
"1464248649.20446";"около тысячи";"49";"миролюбивый";"22";"292";"12";"0";"0";"0"
"1464291854.41636";"около 4 тысяч";"49";"миролюбивый";"23";"292";"12";"0";"0";"0"
"1464335054.18867";"около 3 тысяч";"49";"миролюбивый";"23";"292";"12";"0";"0";"0"
