"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856031.47818";"около 5 тысяч";"87";"злобный";"813";"444";"21";"5 лет 11 месяцев";"около 311 тысяч";"141";"139 / 143";"3591";"4492";"6222";"2924";"6607";"1218";"4310";"1164"
"1463859895.64501";"около 5 тысяч";"87";"злобный";"813";"444";"21";"5 лет 11 месяцев";"около 311 тысяч";"141";"139 / 143";"3591";"4492";"6221";"2926";"6610";"1218";"4312";"1205"
"1463903081.6626";"около 8 тысяч";"87";"злобный";"813";"444";"21";"5 лет 11 месяцев";"около 311 тысяч";"141";"139 / 143";"3591";"4492";"6221";"2909";"6570";"1211";"4292";"1404"
"1463946288.58442";"около 13 тысяч";"87";"злобный";"814";"444";"21";"5 лет 11 месяцев";"около 311 тысяч";"141";"139 / 143";"3589";"4492";"6221";"2936";"6611";"1216";"4313";"1576"
"1463989480.88818";"около 11 тысяч";"87";"злобный";"814";"444";"21";"5 лет 11 месяцев";"около 312 тысяч";"141";"139 / 143";"3590";"4492";"6222";"2910";"6591";"1204";"4288";"1402"
"1464032685.61375";"около 7 тысяч";"87";"злобный";"815";"444";"21";"5 лет 11 месяцев";"около 312 тысяч";"142";"139 / 143";"3591";"4492";"6223";"2932";"6631";"1245";"4307";"1171"
"1464075882.66103";"около 11 тысяч";"87";"злобный";"816";"444";"21";"5 лет 11 месяцев";"около 312 тысяч";"142";"139 / 143";"3591";"4492";"6225";"2905";"6603";"1234";"4276";"1386"
"1464119081.26671";"около 17 тысяч";"87";"злобный";"817";"444";"21";"5 лет 11 месяцев";"около 312 тысяч";"142";"139 / 143";"3591";"4492";"6226";"2925";"6639";"1241";"4303";"1409"
"1464162280.66871";"около 8 тысяч";"87";"злобный";"818";"444";"21";"5 лет 11 месяцев";"около 312 тысяч";"142";"139 / 143";"3592";"4492";"6227";"2914";"6585";"1232";"4275";"1042"
"1464205485.03497";"около 11 тысяч";"87";"чистое зло";"818";"444";"21";"5 лет 11 месяцев";"около 312 тысяч";"142";"139 / 143";"3591";"4492";"6227";"2929";"6635";"1237";"4294";"919"
"1464248679.87661";"около 11 тысяч";"87";"чистое зло";"818";"444";"21";"5 лет 11 месяцев";"около 312 тысяч";"142";"139 / 143";"3593";"4492";"6229";"2906";"6577";"1221";"4270";"1152"
"1464291885.08568";"около 18 тысяч";"87";"чистое зло";"818";"444";"21";"5 лет 11 месяцев";"около 312 тысяч";"142";"139 / 143";"3595";"4492";"6234";"2935";"6625";"1227";"4308";"893"
"1464335084.82591";"около 5 тысяч";"87";"чистое зло";"825";"444";"21";"5 лет 11 месяцев";"около 313 тысяч";"142";"139 / 143";"3574";"4492";"6237";"2929";"6579";"1226";"4276";"1211"
