"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856041.87506";"около сотни";"78";"нейтральный";"910";"408";"";"4 года 11 месяцев";"около 221 тысяч";"155";"118 / 44";"7527";"7272";"3179";"5302";"0";"5270";"4507";"0"
"1463859905.9075";"около сотни";"78";"нейтральный";"910";"408";"";"4 года 11 месяцев";"около 221 тысяч";"155";"118 / 44";"7527";"7272";"3179";"5307";"0";"5273";"4508";"0"
"1463903091.92691";"около сотни";"78";"нейтральный";"910";"408";"";"4 года 11 месяцев";"около 221 тысяч";"155";"118 / 44";"7528";"7272";"3179";"5268";"0";"5234";"4493";"0"
"1463946298.85454";"около сотни";"78";"нейтральный";"910";"408";"";"4 года 11 месяцев";"около 221 тысяч";"155";"118 / 44";"7529";"7272";"3180";"5307";"0";"5274";"4514";"0"
"1463989491.16388";"около сотни";"78";"нейтральный";"910";"408";"";"4 года 11 месяцев";"около 221 тысяч";"155";"118 / 44";"7532";"7272";"3180";"5263";"0";"5219";"4493";"0"
"1464032695.89705";"около сотни";"78";"нейтральный";"910";"408";"";"4 года 11 месяцев";"около 221 тысяч";"155";"118 / 44";"7538";"7272";"3180";"5303";"0";"5264";"4515";"0"
"1464075892.90816";"около сотни";"78";"нейтральный";"910";"408";"";"4 года 11 месяцев";"около 221 тысяч";"155";"118 / 44";"7540";"7272";"3182";"0";"0"
"1464119091.53418";"около 11 тысяч";"78";"нейтральный";"920";"408";"";"4 года 11 месяцев";"около 222 тысяч";"156";"118 / 44";"7522";"7272";"3183";"5288";"0";"5310";"4496";"0"
"1464162290.93832";"около 11 тысяч";"78";"нейтральный";"920";"408";"";"4 года 11 месяцев";"около 222 тысяч";"156";"118 / 44";"7525";"7272";"3183";"5234";"0";"5257";"4478";"0"
"1464205495.30105";"около 11 тысяч";"78";"нейтральный";"920";"408";"";"4 года 11 месяцев";"около 222 тысяч";"156";"118 / 44";"7532";"7272";"3183";"5283";"0";"5317";"4503";"0"
"1464248690.14154";"около 11 тысяч";"78";"нейтральный";"920";"408";"";"4 года 11 месяцев";"около 222 тысяч";"156";"118 / 44";"7533";"7272";"3184";"5233";"0";"5240";"4486";"0"
"1464291895.38823";"около 11 тысяч";"78";"нейтральный";"920";"408";"";"4 года 11 месяцев";"около 222 тысяч";"156";"118 / 44";"7535";"7272";"3185";"5293";"0";"5297";"4525";"0"
"1464335095.0775";"около 11 тысяч";"78";"нейтральный";"920";"408";"";"4 года 11 месяцев";"около 222 тысяч";"156";"118 / 44";"7538";"7272";"3187";"5266";"0";"5230";"4505";"0"
