"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856046.99281";"около 3 тысяч";"44";"миролюбивый";"3";"272";"8";"8 месяцев";"около 42 тысяч";"37";"29 / 49";"37251";"0";"21395";"17616";"8866";"18525";"8438"
"1463859911.02042";"около 2 тысяч";"44";"миролюбивый";"3";"272";"8";"8 месяцев";"около 42 тысяч";"37";"29 / 49";"37251";"0";"21418";"17635";"8873";"18541";"9050"
"1463903097.04141";"около 2 тысяч";"44";"миролюбивый";"3";"272";"8";"8 месяцев";"около 42 тысяч";"37";"29 / 49";"37252";"0";"21146";"17419";"8736";"18317";"8937"
"1463946303.96974";"около 3 тысяч";"44";"миролюбивый";"8";"272";"8";"8 месяцев";"около 43 тысяч";"37";"29 / 49";"37252";"0";"21358";"17585";"8779";"18525";"8253"
"1463989496.27283";"около 3 тысяч";"44";"миролюбивый";"8";"272";"8";"8 месяцев";"около 43 тысяч";"37";"29 / 49";"37252";"0";"21299";"17383";"8593";"18309";"7566"
"1464032701.03497";"около 2 тысяч";"44";"миролюбивый";"9";"272";"8";"8 месяцев";"около 43 тысяч";"37";"29 / 49";"37252";"0";"21486";"17543";"8616";"18500";"7379"
"1464075898.02982";"около 3 тысяч";"44";"миролюбивый";"9";"272";"8";"8 месяцев";"около 43 тысяч";"37";"29 / 49";"37252";"0";"21139";"17337";"8519";"18226";"5470"
"1464119096.63637";"около 5 тысяч";"44";"миролюбивый";"9";"272";"8";"8 месяцев";"около 43 тысяч";"37";"29 / 49";"37252";"0";"21157";"17466";"8556";"18445";"5864"
"1464162296.03983";"около 9 тысяч";"44";"миролюбивый";"10";"272";"8";"8 месяцев";"около 43 тысяч";"36";"29 / 49";"37252";"0";"20791";"17202";"7840";"18176";"6320"
"1464205500.4151";"около 3 тысяч";"44";"миролюбивый";"10";"272";"8";"8 месяцев";"около 43 тысяч";"36";"29 / 49";"37252";"0";"21097";"17369";"7879";"18426";"6953"
"1464248695.26684";"около 3 тысяч";"44";"миролюбивый";"10";"272";"9";"8 месяцев";"около 43 тысяч";"36";"29 / 49";"37252";"0";"20705";"16188";"7736";"18154";"7378"
"1464291900.49964";"около 4 тысяч";"44";"миролюбивый";"11";"272";"9";"8 месяцев";"около 43 тысяч";"36";"29 / 49";"37252";"0";"20994";"16290";"7756";"18354";"7675"
"1464335100.18207";"около 3 тысяч";"44";"миролюбивый";"13";"272";"9";"8 месяцев";"около 44 тысяч";"36";"29 / 49";"37252";"0";"20763";"16115";"7631";"18002";"6782"
