"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856052.09204";"около 3 тысяч";"49";"нейтральный";"4";"292";"9";"4 года 2 месяца";"около 55 тысяч";"83";"8 / 4";"37221";"0";"18675";"16402";"30873";"18567";"0"
"1463859916.13008";"около 4 тысяч";"49";"нейтральный";"4";"292";"9";"4 года 2 месяца";"около 55 тысяч";"83";"8 / 4";"37221";"0";"18693";"16418";"30898";"18582";"0"
"1463903102.1444";"около 4 сотен";"49";"нейтральный";"6";"292";"9";"4 года 2 месяца";"около 55 тысяч";"83";"8 / 4";"37221";"0";"18444";"16229";"30394";"18380";"0"
"1463946309.07103";"около 2 тысяч";"49";"нейтральный";"7";"292";"9";"4 года 2 месяца";"около 55 тысяч";"83";"8 / 4";"37221";"0";"18703";"16390";"30755";"18591";"0"
"1463989501.38839";"около 7 тысяч";"49";"нейтральный";"7";"292";"10";"4 года 2 месяца";"около 55 тысяч";"83";"8 / 4";"37221";"0";"18504";"15070";"30304";"18378";"0"
"1464032706.14907";"около 3 тысяч";"49";"нейтральный";"8";"292";"10";"4 года 2 месяца";"около 55 тысяч";"83";"8 / 4";"37221";"0";"18772";"15233";"30638";"18589";"0"
"1464075903.14942";"около 5 тысяч";"49";"нейтральный";"8";"292";"10";"4 года 2 месяца";"около 55 тысяч";"83";"8 / 4";"37221";"0";"18550";"15112";"30221";"18379";"0"
"1464119101.75292";"около 4 тысяч";"49";"нейтральный";"8";"292";"10";"4 года 2 месяца";"около 55 тысяч";"83";"8 / 4";"37221";"0";"18883";"15236";"30590";"18611";"0"
"1464162301.15992";"около 4 тысяч";"49";"нейтральный";"8";"292";"10";"4 года 2 месяца";"около 55 тысяч";"83";"8 / 4";"37221";"0";"18513";"15036";"30077";"18350";"0"
"1464205505.52609";"около 4 сотен";"49";"нейтральный";"8";"292";"10";"4 года 2 месяца";"около 55 тысяч";"84";"8 / 4";"37221";"0";"18755";"15216";"30964";"18605";"0"
"1464248700.38773";"около тысячи";"49";"нейтральный";"14";"292";"10";"4 года 2 месяца";"около 55 тысяч";"84";"8 / 4";"37221";"0";"18446";"15053";"30406";"18330";"0"
"1464291905.60784";"около 2 тысяч";"49";"нейтральный";"16";"292";"10";"4 года 2 месяца";"около 55 тысяч";"84";"8 / 4";"37221";"0";"18559";"15163";"30796";"18537";"0"
"1464335105.2868";"около 3 тысяч";"49";"нейтральный";"17";"292";"10";"4 года 2 месяца";"около 55 тысяч";"84";"8 / 4";"37221";"0";"18341";"14998";"30351";"18329";"0"
