"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856077.8842";"около 10 тысяч";"67";"миролюбивый";"809";"364";"26";"2 года 10 месяцев";"около 143 тысяч";"127";"54 / 30";"15954";"26041";"15996";"10642";"4768";"9383";"8348";"6533"
"1463859941.90313";"около 10 тысяч";"67";"миролюбивый";"809";"364";"26";"2 года 10 месяцев";"около 143 тысяч";"127";"54 / 30";"15954";"26041";"15996";"10653";"4768";"9392";"8354";"6626"
"1463903127.85257";"около 10 тысяч";"67";"миролюбивый";"810";"364";"26";"2 года 10 месяцев";"около 143 тысяч";"127";"54 / 30";"15945";"26041";"15996";"10534";"4740";"9324";"8292";"7062"
"1463946334.81867";"около 7 тысяч";"67";"миролюбивый";"811";"364";"26";"2 года 10 месяцев";"около 144 тысяч";"127";"54 / 30";"15928";"26041";"16008";"10653";"4759";"9414";"8346";"5452"
"1463989527.15001";"около 7 тысяч";"67";"миролюбивый";"811";"364";"26";"2 года 10 месяцев";"около 144 тысяч";"127";"54 / 30";"15938";"26041";"16010";"10527";"4750";"9286";"8274";"5905"
"1464032731.92574";"около 6 тысяч";"67";"миролюбивый";"812";"364";"26";"2 года 10 месяцев";"около 144 тысяч";"127";"54 / 30";"15922";"26041";"16019";"10601";"4769";"9347";"8325";"5078"
"1464075928.88345";"около 6 тысяч";"67";"миролюбивый";"812";"364";"26";"2 года 10 месяцев";"около 144 тысяч";"127";"54 / 30";"15926";"26041";"16023";"10503";"4752";"9280";"8274";"5563"
"1464119127.53332";"около тысячи";"67";"миролюбивый";"814";"364";"26";"2 года 10 месяцев";"около 144 тысяч";"128";"54 / 30";"15908";"26041";"16028";"10647";"4777";"9549";"8330";"5651"
"1464162326.93651";"около тысячи";"67";"миролюбивый";"814";"364";"26";"2 года 10 месяцев";"около 144 тысяч";"128";"54 / 30";"15913";"26041";"16028";"10509";"4738";"9412";"8251";"6108"
"1464205531.27521";"около 5 тысяч";"67";"миролюбивый";"814";"364";"26";"2 года 10 месяцев";"около 144 тысяч";"128";"54 / 30";"15898";"26041";"16029";"10626";"4766";"9475";"8310";"5852"
"1464248726.16159";"около 9 тысяч";"67";"миролюбивый";"821";"364";"26";"2 года 10 месяцев";"около 144 тысяч";"128";"54 / 30";"15833";"26041";"16031";"10513";"4725";"9305";"8224";"5409"
"1464291931.3396";"около 16 сотен";"67";"миролюбивый";"821";"364";"26";"2 года 10 месяцев";"около 144 тысяч";"128";"54 / 30";"15829";"26041";"16037";"10683";"4752";"9436";"8299";"5067"
"1464335131.01398";"около 4 тысяч";"67";"добродетельный";"822";"364";"26";"2 года 10 месяцев";"около 144 тысяч";"128";"54 / 30";"15820";"26041";"16043";"10556";"4725";"9320";"8236";"4355"
