"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856129.39524";"около 6 тысяч";"70";"агрессивный";"814";"376";"5";"2 года 2 месяца";"около 165 тысяч";"168";"40 / 14";"13425";"25320";"16714";"8071";"20578";"13565";"7220";"3768"
"1463859993.45485";"около 7 тысяч";"70";"агрессивный";"814";"376";"5";"2 года 2 месяца";"около 165 тысяч";"168";"40 / 14";"13425";"25320";"16716";"8078";"20601";"13581";"7224";"3791"
"1463903179.37911";"около 5 тысяч";"70";"агрессивный";"815";"376";"5";"2 года 2 месяца";"около 165 тысяч";"168";"40 / 14";"13422";"25320";"16719";"7992";"20262";"13446";"7169";"3511"
"1463946386.42851";"около тысячи";"70";"агрессивный";"816";"376";"6";"2 года 2 месяца";"около 166 тысяч";"168";"40 / 14";"13407";"25320";"16727";"8053";"19749";"13553";"7199";"3689"
"1463989578.69545";"около 10 тысяч";"70";"агрессивный";"816";"376";"6";"2 года 2 месяца";"около 166 тысяч";"168";"40 / 14";"13401";"25320";"16728";"7950";"19479";"13334";"7148";"3513"
"1464032783.76718";"около 6 тысяч";"70";"агрессивный";"816";"376";"6";"2 года 2 месяца";"около 166 тысяч";"168";"40 / 14";"13393";"25320";"16734";"8016";"19636";"13428";"7189";"3331"
"1464075980.39236";"около 4 тысяч";"70";"агрессивный";"816";"376";"6";"2 года 2 месяца";"около 166 тысяч";"168";"40 / 14";"13392";"25320";"16732";"7932";"19362";"13303";"7145";"3208"
"1464119179.12945";"около 3 тысяч";"70";"агрессивный";"817";"376";"6";"2 года 2 месяца";"около 166 тысяч";"168";"40 / 14";"13393";"25320";"16740";"7958";"19505";"13445";"7174";"3416"
"1464162378.52584";"около 5 тысяч";"70";"агрессивный";"817";"376";"6";"2 года 2 месяца";"около 166 тысяч";"168";"40 / 14";"13390";"25320";"16739";"7877";"19171";"13284";"7113";"3291"
"1464205582.88106";"около 4 тысяч";"70";"агрессивный";"817";"376";"6";"2 года 2 месяца";"около 166 тысяч";"168";"40 / 14";"13388";"25320";"16746";"7936";"19401";"13420";"7159";"3491"
"1464248777.77398";"ни одного";"70";"агрессивный";"817";"376";"6";"2 года 2 месяца";"около 166 тысяч";"169";"40 / 14";"13391";"25320";"16751";"7836";"19125";"13418";"7106";"3617"
"1464291982.953";"около 3 тысяч";"70";"агрессивный";"817";"376";"6";"2 года 2 месяца";"около 166 тысяч";"169";"40 / 14";"13391";"25320";"16757";"7930";"19256";"13529";"7170";"3334"
"1464335182.57884";"около 3 тысяч";"70";"агрессивный";"817";"376";"6";"2 года 2 месяца";"около 166 тысяч";"169";"40 / 14";"13395";"25320";"16760";"7862";"18985";"13403";"7123";"3502"
