"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856134.57168";"около 10 тысяч";"68";"беззлобный";"815";"368";"";"2 года 8 месяцев";"около 155 тысяч";"151";"15 / 15";"15408";"24412";"0";"10023";"0";"12140";"9162";"18389"
"1463859998.60709";"около 10 тысяч";"68";"беззлобный";"815";"368";"";"2 года 8 месяцев";"около 155 тысяч";"151";"15 / 15";"15408";"24412";"0";"10032";"0";"12151";"9169";"18461"
"1463903184.51975";"около сотни";"68";"беззлобный";"817";"368";"";"2 года 8 месяцев";"около 155 тысяч";"152";"15 / 15";"15395";"24412";"0";"9991";"0";"12244";"9090";"18777"
"1463946391.56339";"около 5 тысяч";"68";"нейтральный";"817";"368";"";"2 года 8 месяцев";"около 155 тысяч";"152";"15 / 15";"15390";"24412";"0";"10067";"0";"12314";"9158";"0"
"1463989583.83387";"около 3 тысяч";"68";"беззлобный";"818";"368";"";"2 года 8 месяцев";"около 155 тысяч";"152";"15 / 15";"15384";"24412";"0";"9914";"0";"12147";"9070";"17765"
"1464032788.95479";"около 3 тысяч";"68";"беззлобный";"818";"368";"";"2 года 8 месяцев";"около 155 тысяч";"152";"15 / 15";"15387";"24412";"0";"9994";"0";"12212";"9146";"18339"
"1464075985.52511";"около 3 тысяч";"68";"беззлобный";"818";"368";"";"2 года 8 месяцев";"около 155 тысяч";"152";"15 / 15";"15389";"24412";"0";"9913";"0";"12143";"9095";"18589"
"1464119184.29029";"около 5 тысяч";"68";"беззлобный";"819";"368";"";"2 года 8 месяцев";"около 155 тысяч";"152";"15 / 15";"15357";"24412";"0";"9935";"0";"12247";"9151";"16977"
"1464162383.65372";"около 7 тысяч";"68";"беззлобный";"820";"368";"";"2 года 8 месяцев";"около 156 тысяч";"152";"15 / 15";"15349";"24412";"0";"9807";"0";"12073";"9052";"16862"
"1464205588.01167";"около 2 тысяч";"68";"беззлобный";"821";"368";"";"2 года 8 месяцев";"около 156 тысяч";"152";"15 / 15";"15310";"24412";"0";"9915";"0";"12196";"9131";"17359"
"1464248782.91342";"около 7 тысяч";"68";"беззлобный";"821";"368";"";"2 года 8 месяцев";"около 156 тысяч";"152";"15 / 15";"15300";"24412";"0";"9776";"0";"11977";"9031";"16572"
"1464291988.10278";"около 4 тысяч";"68";"беззлобный";"821";"368";"";"2 года 8 месяцев";"около 156 тысяч";"152";"15 / 15";"15271";"24412";"0";"9917";"0";"12122";"9119";"17135"
"1464335187.70965";"около 4 тысяч";"68";"беззлобный";"821";"368";"";"2 года 8 месяцев";"около 156 тысяч";"152";"15 / 15";"15276";"24412";"0";"9818";"0";"11998";"9055";"17498"
