"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856149.92042";"около 3 тысяч";"53";"озлобленный";"2";"308";"";"1 год 8 месяцев";"около 72 тысяч";"133";"1 / 2";"37227";"0";"17677";"0";"37539";"18544";"3972"
"1463860013.94455";"около 2 тысяч";"53";"агрессивный";"3";"308";"";"1 год 8 месяцев";"около 72 тысяч";"133";"1 / 2";"37227";"0";"17693";"0";"37588";"18559";"3994"
"1463903199.85499";"около 4 тысяч";"53";"агрессивный";"3";"308";"";"1 год 8 месяцев";"около 72 тысяч";"133";"1 / 2";"37228";"0";"18998";"0";"36867";"18322";"3336"
"1463946406.94112";"около 6 тысяч";"53";"агрессивный";"3";"308";"";"1 год 8 месяцев";"около 72 тысяч";"133";"1 / 2";"37228";"0";"17933";"0";"37468";"18531";"3501"
"1463989599.18082";"около 5 тысяч";"53";"агрессивный";"4";"308";"";"1 год 8 месяцев";"около 72 тысяч";"133";"1 / 2";"37228";"0";"17578";"0";"36838";"18310";"3641"
"1464032804.33859";"около 5 тысяч";"53";"озлобленный";"4";"308";"";"1 год 8 месяцев";"около 72 тысяч";"133";"1 / 2";"37228";"0";"17781";"0";"37375";"18507";"3839"
"1464076000.88637";"около тысячи";"53";"агрессивный";"6";"308";"";"1 год 8 месяцев";"около 72 тысяч";"133";"1 / 2";"37228";"0";"17432";"0";"36642";"18289";"3570"
"1464119199.62846";"около 9 сотен";"53";"агрессивный";"6";"308";"";"1 год 8 месяцев";"около 72 тысяч";"133";"1 / 2";"37228";"0";"17686";"0";"37276";"18530";"3770"
"1464162398.98471";"около 8 сотен";"53";"агрессивный";"7";"308";"";"1 год 8 месяцев";"около 73 тысяч";"134";"1 / 2";"37228";"0";"17422";"0";"36777";"18271";"3672"
"1464205603.40634";"около 3 тысяч";"53";"агрессивный";"7";"308";"";"1 год 8 месяцев";"около 73 тысяч";"134";"1 / 2";"37228";"0";"17642";"0";"37398";"18512";"3676"
"1464248798.26122";"около 4 тысяч";"53";"агрессивный";"7";"308";"";"1 год 8 месяцев";"около 73 тысяч";"134";"1 / 2";"37228";"0";"17237";"0";"36635";"18239";"3586"
"1464292003.45063";"около 6 тысяч";"53";"агрессивный";"7";"308";"";"1 год 8 месяцев";"около 73 тысяч";"134";"1 / 2";"37228";"0";"17481";"0";"37241";"18456";"3723"
"1464335203.04274";"около 2 тысяч";"53";"агрессивный";"8";"308";"";"1 год 8 месяцев";"около 73 тысяч";"134";"1 / 2";"37228";"0";"17232";"0";"36590";"18231";"3560"
