"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856264.15131";"около 4 тысяч";"70";"добродетельный";"818";"376";"";"0";"0";"0"
"1463860129.10171";"около 4 тысяч";"70";"добродетельный";"818";"376";"";"0";"0";"0"
"1463903313.90524";"около 4 тысяч";"70";"добродетельный";"818";"376";"";"0";"0";"0"
"1463946521.31062";"около 9 тысяч";"70";"добродетельный";"820";"376";"";"0";"0";"0"
"1463989713.40994";"около 7 тысяч";"70";"добродетельный";"821";"376";"";"0";"0";"0"
"1464032918.65591";"около 7 тысяч";"70";"добродетельный";"821";"376";"";"0";"0";"0"
"1464076115.07752";"около 8 тысяч";"70";"добродетельный";"821";"376";"";"0";"0";"0"
"1464119313.80297";"около 5 сотен";"70";"добродетельный";"822";"376";"";"0";"0";"0"
"1464162513.06691";"около 5 тысяч";"70";"добродетельный";"822";"376";"";"0";"0";"0"
"1464205717.61202";"около 7 тысяч";"70";"добродетельный";"829";"376";"";"0";"0";"0"
"1464248912.56113";"около 4 тысяч";"70";"абсолютное добро";"829";"376";"";"0";"0";"0"
"1464292117.76647";"около 5 тысяч";"70";"абсолютное добро";"830";"376";"";"0";"0";"0"
"1464335323.55513";"около 4 тысяч";"70";"абсолютное добро";"831";"376";"";"0";"0";"0"
