"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856274.83129";"около 18 сотен";"45";"миролюбивый";"6";"276";"7";"0";"0";"0"
"1463860139.69015";"около 3 тысяч";"45";"миролюбивый";"6";"276";"7";"0";"0";"0"
"1463903324.48348";"около 17 сотен";"45";"миролюбивый";"6";"276";"7";"0";"0";"0"
"1463946531.883";"около тысячи";"45";"миролюбивый";"7";"276";"8";"0";"0";"0"
"1463989723.98348";"около 5 тысяч";"46";"миролюбивый";"8";"280";"8";"0";"0";"0"
"1464032929.25266";"около 5 сотен";"46";"миролюбивый";"8";"280";"8";"0";"0";"0"
"1464076125.67236";"около 5 тысяч";"46";"миролюбивый";"8";"280";"8";"0";"0";"0"
"1464119324.38853";"около 18 сотен";"46";"миролюбивый";"9";"280";"8";"0";"0";"0"
"1464162523.65278";"около 7 тысяч";"46";"миролюбивый";"10";"280";"8";"0";"0";"0"
"1464205728.20379";"около 3 тысяч";"46";"миролюбивый";"11";"280";"8";"0";"0";"0"
"1464248923.13972";"около 4 тысяч";"46";"миролюбивый";"12";"280";"8";"0";"0";"0"
"1464292128.36254";"около 3 тысяч";"46";"миролюбивый";"13";"280";"8";"0";"0";"0"
"1464335334.17537";"около 3 тысяч";"46";"миролюбивый";"13";"280";"8";"0";"0";"0"
