"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856301.33861";"около 3 тысяч";"53";"агрессивный";"11";"308";"2";"0";"0";"0"
"1463860166.1303";"около 6 тысяч";"53";"агрессивный";"11";"308";"2";"0";"0";"0"
"1463903350.95598";"около 4 тысяч";"53";"агрессивный";"11";"308";"2";"0";"0";"0"
"1463946558.36026";"около 15 тысяч";"53";"агрессивный";"11";"308";"2";"0";"0";"0"
"1463989750.43445";"около 7 десятков";"53";"агрессивный";"11";"308";"2";"0";"0";"0"
"1464032956.74066";"около 4 тысяч";"53";"агрессивный";"12";"308";"3";"0";"0";"0"
"1464076152.14719";"около 4 тысяч";"53";"агрессивный";"12";"308";"3";"0";"0";"0"
"1464119350.83508";"около 5 тысяч";"53";"агрессивный";"12";"308";"3";"0";"0";"0"
"1464162550.13159";"около 16 тысяч";"53";"агрессивный";"13";"308";"3";"0";"0";"0"
"1464205754.67421";"около 3 тысяч";"53";"агрессивный";"14";"308";"3";"0";"0";"0"
"1464248949.8444";"около тысячи";"53";"агрессивный";"15";"308";"4";"0";"0";"0"
"1464292154.84203";"около тысячи";"53";"агрессивный";"15";"308";"4";"0";"0";"0"
"1464335360.70912";"около 5 тысяч";"53";"агрессивный";"16";"308";"4";"0";"0";"0"
