"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856316.67865";"около тысячи";"71";"миролюбивый";"993";"380";"13";"3 года 6 месяцев";"около 181 тысяч";"152";"14 / 18";"12291";"19803";"0";"8066";"11714";"8210";"7813";"4436"
"1463860181.47206";"около тысячи";"71";"миролюбивый";"993";"380";"13";"3 года 6 месяцев";"около 181 тысяч";"152";"14 / 18";"12291";"19803";"0";"8073";"11720";"8219";"7818";"4518"
"1463903366.27198";"около 4 тысяч";"71";"миролюбивый";"993";"380";"13";"3 года 6 месяцев";"около 181 тысяч";"152";"14 / 18";"12290";"19803";"0";"8010";"11613";"8128";"7761";"4999"
"1463946573.67593";"около 4 тысяч";"71";"миролюбивый";"993";"380";"13";"3 года 6 месяцев";"около 181 тысяч";"152";"14 / 18";"12295";"19803";"0";"8081";"11691";"8221";"7812";"5697"
"1463989765.79188";"около 3 тысяч";"71";"миролюбивый";"1002";"380";"13";"3 года 6 месяцев";"около 181 тысяч";"152";"14 / 18";"12287";"19803";"0";"7947";"11642";"8102";"7750";"5850"
"1464032972.0798";"около 6 тысяч";"71";"миролюбивый";"1003";"380";"13";"3 года 6 месяцев";"около 181 тысяч";"152";"14 / 18";"12283";"19803";"0";"8012";"11722";"8181";"7807";"5635"
"1464076167.46766";"около 4 тысяч";"71";"миролюбивый";"1004";"380";"13";"3 года 6 месяцев";"около 181 тысяч";"152";"14 / 18";"12272";"19803";"0";"7931";"11611";"8098";"7761";"6075"
"1464119366.17424";"около 6 тысяч";"71";"миролюбивый";"1004";"380";"13";"3 года 6 месяцев";"около 181 тысяч";"152";"14 / 18";"12273";"19803";"0";"7986";"11679";"8162";"7794";"6491"
"1464162565.45756";"около 8 тысяч";"71";"миролюбивый";"1005";"380";"13";"3 года 6 месяцев";"около 181 тысяч";"152";"14 / 18";"12265";"19803";"0";"7901";"11540";"8045";"7712";"6639"
"1464205771.03746";"около 10 тысяч";"71";"миролюбивый";"1006";"380";"14";"3 года 6 месяцев";"около 181 тысяч";"152";"14 / 18";"12263";"19803";"0";"7988";"10983";"8139";"7767";"6409"
"1464248965.16687";"около 3 сотен";"71";"миролюбивый";"1007";"380";"14";"3 года 6 месяцев";"около 182 тысяч";"153";"14 / 18";"12260";"19803";"0";"7891";"10881";"8148";"7691";"6813"
"1464292170.1816";"около 8 тысяч";"71";"миролюбивый";"1007";"380";"14";"3 года 6 месяцев";"около 182 тысяч";"153";"14 / 18";"12264";"19803";"0";"8020";"10941";"8265";"7760";"7390"
"1464335376.03521";"около 2 тысяч";"71";"миролюбивый";"1008";"380";"14";"3 года 6 месяцев";"около 182 тысяч";"153";"14 / 18";"12236";"19803";"0";"7950";"10845";"8133";"7700";"7963"
