"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856337.16388";"около 5 тысяч";"74";"миролюбивый";"915";"392";"";"3 года 4 месяца";"около 201 тысяч";"156";"12 / 17";"10064";"20692";"0";"7631";"0";"6726";"7250";"6571"
"1463860201.94193";"около 5 тысяч";"74";"миролюбивый";"915";"392";"";"3 года 4 месяца";"около 201 тысяч";"156";"12 / 17";"10064";"20692";"0";"7635";"0";"6733";"7254";"6664"
"1463903386.73619";"около 6 тысяч";"74";"миролюбивый";"915";"392";"";"3 года 4 месяца";"около 201 тысяч";"156";"12 / 17";"10066";"20692";"0";"7564";"0";"6685";"7203";"7103"
"1463946594.17433";"около 7 тысяч";"74";"миролюбивый";"916";"392";"";"3 года 4 месяца";"около 201 тысяч";"156";"12 / 17";"10061";"20692";"0";"7626";"0";"6729";"7228";"5487"
"1463989786.30859";"около 7 тысяч";"74";"миролюбивый";"916";"392";"";"3 года 4 месяца";"около 201 тысяч";"156";"12 / 17";"10065";"20692";"0";"7581";"0";"6641";"7181";"5935"
"1464032992.58312";"около 5 тысяч";"74";"добродетельный";"926";"392";"";"3 года 4 месяца";"около 201 тысяч";"156";"12 / 17";"10062";"20692";"0";"7647";"0";"6685";"7226";"3291"
"1464076187.93736";"около 5 тысяч";"74";"миролюбивый";"926";"392";"";"3 года 4 месяца";"около 201 тысяч";"156";"12 / 17";"10063";"20692";"0";"7597";"0";"6632";"7174";"3790"
"1464119386.6662";"около 12 тысяч";"74";"миролюбивый";"927";"392";"";"3 года 4 месяца";"около 201 тысяч";"156";"12 / 17";"10061";"20692";"0";"7622";"0";"6676";"7206";"4155"
"1464162585.95413";"около 6 тысяч";"74";"миролюбивый";"928";"392";"";"3 года 4 месяца";"около 202 тысяч";"156";"12 / 17";"10053";"20692";"0";"7542";"0";"6589";"7125";"3997"
"1464205791.51874";"около 5 тысяч";"74";"миролюбивый";"929";"392";"";"3 года 4 месяца";"около 202 тысяч";"156";"12 / 17";"10054";"20692";"0";"7585";"0";"6665";"7171";"4085"
"1464248985.63919";"около 8 тысяч";"74";"миролюбивый";"929";"392";"";"3 года 4 месяца";"около 202 тысяч";"156";"12 / 17";"10049";"20692";"0";"7492";"0";"6554";"7115";"4489"
"1464292190.65535";"около 8 тысяч";"74";"добродетельный";"930";"392";"";"3 года 4 месяца";"около 202 тысяч";"156";"12 / 17";"10051";"20692";"0";"7588";"0";"6639";"7165";"3168"
"1464335396.54897";"около 3 тысяч";"74";"добродетельный";"932";"392";"";"3 года 4 месяца";"около 202 тысяч";"156";"12 / 17";"10048";"20692";"0";"7519";"0";"6551";"7113";"3102"
