"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856368.20026";"около 2 тысяч";"55";"нейтральный";"9";"316";"";"2 года 9 месяцев";"около 80 тысяч";"144";"2 / 1";"36848";"0";"17759";"0";"36665";"18414";"0"
"1463860232.82165";"около 2 тысяч";"55";"нейтральный";"9";"316";"";"2 года 9 месяцев";"около 80 тысяч";"144";"2 / 1";"36848";"0";"17779";"0";"36710";"18428";"0"
"1463903417.5656";"около 2 тысяч";"55";"нейтральный";"9";"316";"";"2 года 9 месяцев";"около 80 тысяч";"144";"2 / 1";"36848";"0";"17563";"0";"36080";"18230";"0"
"1463946625.08675";"около 2 тысяч";"55";"нейтральный";"9";"316";"";"2 года 9 месяцев";"около 80 тысяч";"144";"2 / 1";"36848";"0";"17792";"0";"36666";"18458";"0"
"1463989817.15948";"около 8 тысяч";"55";"нейтральный";"10";"316";"";"2 года 9 месяцев";"около 81 тысяч";"145";"2 / 1";"36848";"0";"17467";"0";"36237";"18243";"0"
"1464033023.44983";"около 9 тысяч";"55";"нейтральный";"10";"316";"";"2 года 9 месяцев";"около 81 тысяч";"145";"2 / 1";"36848";"0";"17681";"0";"36797";"18464";"0"
"1464076218.85244";"около 4 тысяч";"55";"нейтральный";"11";"316";"";"2 года 9 месяцев";"около 81 тысяч";"145";"2 / 1";"36848";"0";"17419";"0";"36104";"18259";"0"
"1464119417.50711";"около 3 тысяч";"55";"нейтральный";"11";"316";"";"2 года 9 месяцев";"около 81 тысяч";"145";"2 / 1";"36848";"0";"17674";"0";"36713";"18504";"0"
"1464162616.77988";"около 17 сотен";"55";"беззлобный";"12";"316";"";"2 года 9 месяцев";"около 81 тысяч";"145";"2 / 1";"36848";"0";"17350";"0";"36043";"18248";"17406"
"1464205822.35663";"около 4 тысяч";"55";"беззлобный";"12";"316";"";"2 года 9 месяцев";"около 81 тысяч";"145";"2 / 1";"36848";"0";"17547";"0";"36689";"18497";"17918"
"1464249016.46675";"около тысячи";"55";"беззлобный";"12";"316";"";"2 года 9 месяцев";"около 81 тысяч";"146";"2 / 1";"36848";"0";"17291";"0";"36153";"18220";"18186"
"1464292221.49698";"около 6 тысяч";"55";"беззлобный";"12";"316";"";"2 года 9 месяцев";"около 81 тысяч";"146";"2 / 1";"36848";"0";"17417";"0";"36737";"18452";"18729"
"1464335427.40049";"около 15 сотен";"55";"беззлобный";"12";"316";"";"2 года 9 месяцев";"около 81 тысяч";"146";"2 / 1";"36848";"0";"17124";"0";"36118";"18250";"17220"
