"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856476.99151";"около 8 тысяч";"70";"абсолютное добро";"825";"376";"25";"0";"0";"0"
"1463860336.6026";"около 7 тысяч";"70";"абсолютное добро";"825";"376";"25";"0";"0";"0"
"1463903521.37451";"около 3 тысяч";"70";"добродетельный";"826";"376";"25";"0";"0";"0"
"1463946729.13909";"около 9 тысяч";"70";"добродетельный";"827";"376";"25";"0";"0";"0"
"1463989920.97127";"около 9 тысяч";"70";"абсолютное добро";"827";"376";"25";"0";"0";"0"
"1464033127.83863";"около 16 сотен";"70";"абсолютное добро";"828";"376";"25";"0";"0";"0"
"1464076322.77743";"около 11 тысяч";"70";"абсолютное добро";"829";"376";"25";"0";"0";"0"
"1464119521.42041";"около 7 тысяч";"70";"добродетельный";"829";"376";"25";"0";"0";"0"
"1464162720.72594";"около 8 тысяч";"70";"добродетельный";"830";"376";"25";"0";"0";"0"
"1464205926.30485";"около 4 тысяч";"70";"добродетельный";"830";"376";"25";"0";"0";"0"
"1464249120.36378";"около 6 тысяч";"70";"абсолютное добро";"831";"376";"25";"0";"0";"0"
"1464292325.76983";"около 4 тысяч";"70";"абсолютное добро";"832";"376";"25";"0";"0";"0"
"1464335531.29559";"около 3 тысяч";"70";"абсолютное добро";"832";"376";"25";"0";"0";"0"
