"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856507.68732";"около 16 сотен";"63";"беззлобный";"813";"348";"44";"2 года 2 месяца";"около 104 тысяч";"129";"18 / 5";"21138";"25935";"0";"11764";"897";"22217";"9325";"17677"
"1463860367.24271";"около 16 сотен";"63";"беззлобный";"813";"348";"44";"2 года 2 месяца";"около 104 тысяч";"129";"18 / 5";"21138";"25935";"0";"11773";"897";"22242";"9335";"17747"
"1463903552.01126";"около 16 сотен";"63";"беззлобный";"813";"348";"44";"2 года 2 месяца";"около 104 тысяч";"129";"18 / 5";"21143";"25935";"0";"11643";"894";"22000";"9272";"18075"
"1463946759.81029";"около 16 сотен";"63";"беззлобный";"813";"348";"44";"2 года 2 месяца";"около 104 тысяч";"129";"18 / 5";"21146";"25935";"0";"11771";"899";"22231";"9344";"18589"
"1463989951.62778";"около 16 сотен";"63";"нейтральный";"813";"348";"44";"2 года 2 месяца";"около 104 тысяч";"129";"18 / 5";"21152";"25935";"0";"11635";"897";"21993";"9262";"0"
"1464033158.52476";"около 17 сотен";"63";"нейтральный";"815";"348";"44";"2 года 2 месяца";"около 104 тысяч";"130";"18 / 5";"21124";"25935";"0";"11770";"899";"22488";"9329";"0"
"1464076353.45709";"около 17 сотен";"63";"нейтральный";"815";"348";"44";"2 года 2 месяца";"около 104 тысяч";"130";"18 / 5";"21128";"25935";"0";"11653";"896";"22257";"9276";"0"
"1464119552.13496";"около 3 тысяч";"63";"нейтральный";"817";"348";"44";"2 года 2 месяца";"около 104 тысяч";"130";"18 / 5";"21100";"25935";"0";"11856";"898";"22437";"9329";"0"
"1464162751.36978";"около тысячи";"63";"нейтральный";"819";"348";"44";"2 года 2 месяца";"около 104 тысяч";"131";"18 / 5";"21092";"25935";"0";"11708";"891";"22425";"9225";"0"
"1464205956.94823";"около тысячи";"63";"нейтральный";"819";"348";"44";"2 года 2 месяца";"около 104 тысяч";"131";"18 / 5";"21097";"25935";"0";"11854";"893";"22713";"9306";"0"
"1464249151.00875";"около 4 тысяч";"63";"нейтральный";"819";"348";"44";"2 года 2 месяца";"около 104 тысяч";"131";"18 / 5";"21084";"25935";"0";"11696";"873";"22318";"9202";"0"
"1464292356.44358";"около 22 тысяч";"63";"нейтральный";"820";"348";"44";"2 года 2 месяца";"около 104 тысяч";"131";"18 / 5";"21083";"25935";"0";"11845";"876";"22581";"9297";"0"
"1464335561.93841";"около 3 тысяч";"63";"нейтральный";"820";"348";"45";"2 года 2 месяца";"около 104 тысяч";"131";"18 / 5";"21067";"25935";"0";"11655";"774";"22291";"9214";"0"
