"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856544.64088";"около 7 тысяч";"46";"добродушный";"12";"280";"14";"0";"0";"0"
"1463860404.14042";"около 7 тысяч";"46";"добродушный";"12";"280";"14";"0";"0";"0"
"1463903588.89829";"около 3 тысяч";"46";"добродушный";"13";"280";"15";"0";"0";"0"
"1463946796.65438";"около 3 тысяч";"46";"добродушный";"13";"280";"15";"0";"0";"0"
"1463989988.54785";"около 2 тысяч";"46";"добродушный";"14";"280";"15";"0";"0";"0"
"1464033195.46066";"ни одного";"46";"добродушный";"15";"280";"15";"0";"0";"0"
"1464076390.3223";"около 18 сотен";"46";"добродушный";"15";"280";"15";"0";"0";"0"
"1464119589.02047";"около 18 сотен";"46";"добродушный";"15";"280";"15";"0";"0";"0"
"1464162788.25249";"ни одного";"46";"добродушный";"16";"280";"15";"0";"0";"0"
"1464205993.81799";"около 3 тысяч";"46";"добродушный";"16";"280";"15";"0";"0";"0"
"1464249187.91157";"около сотни";"46";"добродушный";"17";"280";"15";"0";"0";"0"
"1464292393.34972";"около 3 тысяч";"46";"добродушный";"18";"280";"15";"0";"0";"0"
"1464335598.80021";"около 4 тысяч";"46";"добродушный";"19";"280";"15";"0";"0";"0"
