"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856555.05086";"около 7 тысяч";"72";"нейтральный";"1004";"384";"3 года 4 месяца";"около 165 тысяч";"196";"27 / 21";"11802";"22924";"0";"9056";"0";"20220";"7173";"0"
"1463860414.54604";"около 7 тысяч";"72";"нейтральный";"1004";"384";"3 года 4 месяца";"около 165 тысяч";"196";"27 / 21";"11801";"22924";"0";"9062";"0";"20246";"7178";"0"
"1463903599.30502";"около 3 тысяч";"72";"нейтральный";"1004";"384";"3 года 4 месяца";"около 165 тысяч";"196";"27 / 21";"11800";"22924";"0";"8988";"0";"19962";"7135";"0"
"1463946807.07713";"около 3 тысяч";"72";"нейтральный";"1005";"384";"3 года 4 месяца";"около 165 тысяч";"196";"27 / 21";"11794";"22924";"0";"9039";"0";"20158";"7171";"0"
"1463989998.98419";"около 3 тысяч";"72";"нейтральный";"1005";"384";"3 года 4 месяца";"около 165 тысяч";"196";"27 / 21";"11798";"22924";"0";"8926";"0";"19958";"7122";"0"
"1464033205.89546";"около 6 тысяч";"72";"нейтральный";"1006";"384";"3 года 4 месяца";"около 165 тысяч";"196";"27 / 21";"11791";"22924";"0";"8981";"0";"20131";"7176";"0"
"1464076400.73471";"около 6 тысяч";"72";"нейтральный";"1006";"384";"3 года 4 месяца";"около 165 тысяч";"196";"27 / 21";"11794";"22924";"0";"8923";"0";"19941";"7135";"0"
"1464119599.43244";"около 8 тысяч";"72";"нейтральный";"1007";"384";"3 года 4 месяца";"около 165 тысяч";"197";"27 / 21";"11784";"22924";"0";"9001";"0";"20326";"7171";"0"
"1464162798.66597";"около 8 сотен";"72";"нейтральный";"1008";"384";"3 года 4 месяца";"около 165 тысяч";"198";"27 / 21";"11789";"22924";"0";"8899";"0";"20302";"7110";"0"
"1464206004.23291";"около 3 тысяч";"72";"нейтральный";"1008";"384";"3 года 4 месяца";"около 166 тысяч";"198";"27 / 21";"11794";"22924";"0";"9002";"0";"20493";"7160";"0"
"1464249198.33608";"около 4 тысяч";"72";"нейтральный";"1010";"384";"3 года 4 месяца";"около 166 тысяч";"198";"27 / 21";"11788";"22924";"0";"8874";"0";"20197";"7098";"0"
"1464292403.75288";"около 4 тысяч";"72";"нейтральный";"1010";"384";"3 года 4 месяца";"около 166 тысяч";"198";"27 / 21";"11757";"22924";"0";"8960";"0";"20393";"7160";"0"
"1464335609.21253";"около 4 тысяч";"72";"нейтральный";"1010";"384";"3 года 4 месяца";"около 166 тысяч";"198";"27 / 21";"11760";"22924";"0";"8879";"0";"20167";"7114";"0"
