"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856596.36157";"около 7 тысяч";"69";"добродетельный";"802";"372";"7";"3 года 12 месяцев";"около 164 тысяч";"126";"1 / 5";"13798";"25428";"0";"9311";"18767";"6590";"8675";"2602"
"1463860455.75992";"около 7 тысяч";"69";"добродетельный";"802";"372";"7";"3 года 12 месяцев";"около 164 тысяч";"126";"1 / 5";"13796";"25428";"0";"9318";"18788";"6596";"8683";"2704"
"1463903640.50072";"около 5 тысяч";"69";"добродетельный";"803";"372";"7";"3 года 12 месяцев";"около 164 тысяч";"126";"1 / 5";"13799";"25428";"0";"9235";"18514";"6551";"8619";"3175"
"1463946848.30751";"ни одного";"69";"добродетельный";"803";"372";"7";"3 года 12 месяцев";"около 164 тысяч";"127";"1 / 5";"13798";"25428";"0";"9334";"18680";"6727";"8681";"2993"
"1463990040.23165";"около 3 тысяч";"69";"добродетельный";"804";"372";"8";"3 года 12 месяцев";"около 164 тысяч";"127";"1 / 5";"13798";"25428";"0";"9209";"17496";"6637";"8611";"3492"
"1464033247.20326";"около 9 тысяч";"69";"миролюбивый";"804";"372";"8";"3 года 12 месяцев";"около 164 тысяч";"127";"1 / 5";"13798";"25428";"0";"9326";"17662";"6680";"8679";"4175"
"1464076442.00146";"около 5 тысяч";"69";"миролюбивый";"805";"372";"8";"3 года 12 месяцев";"около 164 тысяч";"127";"1 / 5";"13791";"25428";"0";"9253";"17469";"6624";"8623";"4669"
"1464119640.69421";"около 6 тысяч";"69";"миролюбивый";"807";"372";"8";"3 года 12 месяцев";"около 164 тысяч";"127";"1 / 5";"13791";"25428";"0";"9374";"17614";"6671";"8685";"5383"
"1464162839.97912";"около 16 сотен";"69";"миролюбивый";"808";"372";"8";"3 года 12 месяцев";"около 164 тысяч";"127";"1 / 5";"13780";"25428";"0";"9245";"17361";"6583";"8593";"5857"
"1464206045.45478";"около 8 тысяч";"69";"миролюбивый";"809";"372";"8";"3 года 12 месяцев";"около 164 тысяч";"127";"1 / 5";"13777";"25428";"0";"9364";"17546";"6660";"8659";"5287"
"1464249239.57637";"около 12 тысяч";"69";"миролюбивый";"809";"372";"8";"3 года 12 месяцев";"около 164 тысяч";"127";"1 / 5";"13774";"25428";"0";"9200";"17341";"6549";"8577";"4470"
"1464292444.97994";"около 11 тысяч";"69";"добродетельный";"810";"372";"8";"3 года 12 месяцев";"около 164 тысяч";"127";"1 / 5";"13775";"25428";"0";"9321";"17450";"6634";"8660";"4113"
"1464335650.43317";"около 8 тысяч";"70";"миролюбивый";"811";"376";"8";"3 года 12 месяцев";"около 164 тысяч";"127";"1 / 5";"13769";"25428";"0";"9231";"17219";"6536";"8591";"4673"
