"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856632.35191";"около 3 тысяч";"82";"нейтральный";"804";"424";"";"0";"0";"0"
"1463860491.78255";"около 3 тысяч";"82";"нейтральный";"804";"424";"";"0";"0";"0"
"1463903676.44114";"около 3 тысяч";"82";"нейтральный";"804";"424";"";"0";"0";"0"
"1463946884.26338";"около 3 тысяч";"82";"нейтральный";"804";"424";"";"0";"0";"0"
"1463990076.20713";"около 4 тысяч";"82";"нейтральный";"817";"424";"";"0";"0";"0"
"1464033283.22084";"около 4 тысяч";"82";"нейтральный";"818";"424";"";"0";"0";"0"
"1464076477.98806";"около 4 тысяч";"82";"нейтральный";"818";"424";"";"0";"0";"0"
"1464119676.68903";"около 4 тысяч";"82";"нейтральный";"818";"424";"";"0";"0";"0"
"1464162875.96638";"около 4 тысяч";"82";"нейтральный";"818";"424";"";"0";"0";"0"
"1464206081.44097";"около 4 тысяч";"82";"нейтральный";"818";"424";"";"0";"0";"0"
"1464249275.58639";"около 9 тысяч";"82";"нейтральный";"820";"424";"";"0";"0";"0"
"1464292480.94479";"около 9 тысяч";"82";"нейтральный";"820";"424";"";"0";"0";"0"
"1464335686.39929";"около 9 тысяч";"82";"нейтральный";"820";"424";"";"0";"0";"0"
