"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856668.4412";"около 6 тысяч";"47";"миролюбивый";"9";"284";"";"9 месяцев";"около 54 тысяч";"41";"6 / 5";"37132";"0";"19199";"0";"6256";"18373";"5343"
"1463860527.72863";"около 6 тысяч";"47";"миролюбивый";"9";"284";"";"9 месяцев";"около 54 тысяч";"41";"6 / 5";"37132";"0";"19224";"0";"6260";"18359";"5423"
"1463903712.36755";"около 2 тысяч";"47";"миролюбивый";"10";"284";"";"9 месяцев";"около 54 тысяч";"41";"6 / 5";"37132";"0";"18947";"0";"6194";"18156";"5297"
"1463946920.18918";"около 2 сотен";"47";"миролюбивый";"10";"284";"";"9 месяцев";"около 54 тысяч";"42";"6 / 5";"37132";"0";"19106";"0";"6565";"18367";"5687"
"1463990112.16626";"около 5 тысяч";"47";"миролюбивый";"11";"284";"";"9 месяцев";"около 54 тысяч";"42";"6 / 5";"37132";"0";"18886";"0";"6459";"18144";"5270"
"1464033319.21133";"около 5 тысяч";"47";"миролюбивый";"11";"284";"";"9 месяцев";"около 55 тысяч";"42";"6 / 5";"37132";"0";"19135";"0";"6486";"18342";"5324"
"1464076513.89539";"около 4 тысяч";"48";"миролюбивый";"12";"288";"";"9 месяцев";"около 55 тысяч";"42";"6 / 5";"37132";"0";"18869";"0";"6413";"18103";"5779"
"1464119712.66005";"около 5 тысяч";"48";"миролюбивый";"12";"288";"1";"9 месяцев";"около 55 тысяч";"42";"6 / 5";"37132";"0";"19044";"24361";"6451";"18348";"6179"
"1464162911.89232";"около 16 сотен";"48";"миролюбивый";"12";"288";"2";"9 месяцев";"около 55 тысяч";"42";"6 / 5";"37132";"0";"18660";"23856";"6334";"18100";"4835"
"1464206117.41197";"около 8 тысяч";"48";"миролюбивый";"12";"288";"2";"9 месяцев";"около 55 тысяч";"42";"6 / 5";"37132";"0";"19001";"24042";"6381";"18345";"4554"
"1464249311.54972";"около 17 сотен";"48";"миролюбивый";"13";"288";"2";"9 месяцев";"около 55 тысяч";"43";"6 / 5";"37132";"0";"18721";"23599";"6637";"18062";"5028"
"1464292516.96579";"около 3 тысяч";"48";"миролюбивый";"13";"288";"2";"9 месяцев";"около 55 тысяч";"43";"6 / 5";"37132";"0";"18970";"23812";"6691";"18275";"4984"
"1464335722.33772";"около 3 тысяч";"48";"миролюбивый";"14";"288";"3";"9 месяцев";"около 55 тысяч";"43";"6 / 5";"37132";"0";"18846";"22887";"6564";"18048";"4906"
