"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856684.13863";"около тысячи";"50";"беззлобный";"12";"296";"13";"0";"0";"0"
"1463860543.41391";"около 4 тысяч";"50";"беззлобный";"12";"296";"13";"0";"0";"0"
"1463903728.04234";"около 2 тысяч";"50";"беззлобный";"13";"296";"13";"0";"0";"0"
"1463946935.87927";"около тысячи";"50";"беззлобный";"14";"296";"13";"0";"0";"0"
"1463990127.90077";"около 2 тысяч";"50";"беззлобный";"14";"296";"13";"0";"0";"0"
"1464033334.99151";"около 4 тысяч";"50";"беззлобный";"15";"296";"14";"0";"0";"0"
"1464076529.59941";"около 4 тысяч";"50";"беззлобный";"15";"296";"14";"0";"0";"0"
"1464119728.36505";"около 10 тысяч";"50";"беззлобный";"21";"296";"14";"0";"0";"0"
"1464162927.59671";"около 6 тысяч";"50";"беззлобный";"21";"296";"14";"0";"0";"0"
"1464206133.18499";"около тысячи";"50";"беззлобный";"22";"296";"14";"0";"0";"0"
"1464249327.23821";"около тысячи";"50";"беззлобный";"22";"296";"14";"0";"0";"0"
"1464292532.67428";"около 5 тысяч";"50";"беззлобный";"24";"296";"14";"0";"0";"0"
"1464335738.01799";"около 4 тысяч";"50";"беззлобный";"24";"296";"14";"0";"0";"0"
