"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856699.83788";"около 5 тысяч";"70";"абсолютное добро";"817";"376";"26";"0";"0";"0"
"1463860559.09978";"около 5 тысяч";"70";"абсолютное добро";"817";"376";"26";"0";"0";"0"
"1463903743.72306";"около 6 тысяч";"70";"абсолютное добро";"824";"376";"26";"0";"0";"0"
"1463946951.582";"около 5 тысяч";"70";"добродетельный";"824";"376";"26";"0";"0";"0"
"1463990143.59346";"около 8 тысяч";"70";"добродетельный";"825";"376";"26";"0";"0";"0"
"1464033350.70539";"около 4 тысяч";"70";"добродетельный";"826";"376";"";"0";"0";"0"
"1464076545.29417";"около 2 тысяч";"70";"добродетельный";"826";"376";"0";"0";"0"
"1464119744.05826";"около 8 тысяч";"70";"добродетельный";"826";"376";"0";"0";"0"
"1464162943.2894";"около 19 сотен";"70";"добродетельный";"827";"376";"0";"0";"0"
"1464206148.87295";"около 9 тысяч";"70";"абсолютное добро";"829";"376";"1";"0";"0";"0"
"1464249342.94783";"около 3 тысяч";"70";"абсолютное добро";"829";"376";"1";"0";"0";"0"
"1464292548.35428";"около 6 тысяч";"70";"абсолютное добро";"829";"376";"2";"0";"0";"0"
"1464335753.7083";"около 4 тысяч";"70";"абсолютное добро";"830";"376";"2";"0";"0";"0"
