"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856715.34655";"около 4 тысяч";"71";"абсолютное добро";"816";"380";"26";"0";"0";"0"
"1463860574.5837";"около 4 тысяч";"71";"абсолютное добро";"816";"380";"26";"0";"0";"0"
"1463903759.22381";"около 5 тысяч";"71";"абсолютное добро";"816";"380";"26";"0";"0";"0"
"1463946967.08095";"около 7 тысяч";"71";"абсолютное добро";"816";"380";"26";"0";"0";"0"
"1463990159.11761";"около 9 тысяч";"71";"абсолютное добро";"817";"380";"26";"0";"0";"0"
"1464033366.23616";"около 9 тысяч";"71";"абсолютное добро";"818";"380";"26";"0";"0";"0"
"1464076560.79688";"около 6 тысяч";"71";"абсолютное добро";"818";"380";"26";"0";"0";"0"
"1464119759.56136";"около 6 тысяч";"71";"абсолютное добро";"819";"380";"26";"0";"0";"0"
"1464162958.79228";"около 16 тысяч";"71";"абсолютное добро";"819";"380";"26";"0";"0";"0"
"1464206164.37804";"около 6 тысяч";"71";"абсолютное добро";"820";"380";"26";"0";"0";"0"
"1464249358.51055";"около 5 тысяч";"71";"абсолютное добро";"821";"380";"26";"0";"0";"0"
"1464292563.86239";"около 7 тысяч";"71";"абсолютное добро";"821";"380";"26";"0";"0";"0"
"1464335769.20444";"около 6 тысяч";"71";"абсолютное добро";"821";"380";"26";"0";"0";"0"
