"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856736.53462";"около 7 сотен";"60";"добродушный";"840";"336";"34";"0";"0";"0"
"1463860595.76409";"около 9 сотен";"60";"добродушный";"840";"336";"34";"0";"0";"0"
"1463903780.4251";"около 10 тысяч";"60";"добродушный";"842";"336";"34";"0";"0";"0"
"1463946988.25128";"около 4 тысяч";"60";"добродушный";"843";"336";"34";"0";"0";"0"
"1463990180.27236";"около 7 тысяч";"60";"добродушный";"843";"336";"34";"0";"0";"0"
"1464033387.46608";"около 6 тысяч";"60";"добродушный";"844";"336";"34";"0";"0";"0"
"1464076581.98254";"около 34 тысяч";"60";"добродушный";"845";"336";"34";"0";"0";"0"
"1464119780.77182";"около 5 тысяч";"60";"добродушный";"846";"336";"34";"0";"0";"0"
"1464162979.95551";"около 11 тысяч";"60";"добродушный";"846";"336";"34";"0";"0";"0"
"1464206185.54665";"около 5 тысяч";"60";"добродушный";"848";"336";"34";"0";"0";"0"
"1464249379.66809";"около 4 сотен";"60";"добродушный";"850";"336";"34";"0";"0";"0"
"1464292585.04698";"около сотни";"60";"добродушный";"850";"336";"34";"0";"0";"0"
"1464335790.35438";"около тысячи";"60";"добродушный";"851";"336";"34";"0";"0";"0"
