"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856767.23686";"около 3 тысяч";"69";"беззлобный";"802";"372";"";"2 года 10 месяцев";"около 162 тысяч";"147";"8 / 37";"14313";"24819";"0";"9886";"0";"10027";"9545";"17047"
"1463860626.47094";"около 3 тысяч";"69";"беззлобный";"802";"372";"";"2 года 10 месяцев";"около 162 тысяч";"147";"8 / 37";"14315";"24819";"0";"9894";"0";"10040";"9553";"17114"
"1463903811.08306";"около 5 тысяч";"69";"беззлобный";"802";"372";"";"2 года 10 месяцев";"около 162 тысяч";"147";"8 / 37";"14315";"24819";"0";"9831";"0";"9965";"9481";"17429"
"1463947018.94596";"около 3 тысяч";"69";"беззлобный";"803";"372";"";"2 года 10 месяцев";"около 162 тысяч";"147";"8 / 37";"14309";"24819";"0";"9898";"0";"10051";"9556";"16424"
"1463990210.97538";"около 6 тысяч";"69";"беззлобный";"803";"372";"";"2 года 10 месяцев";"около 162 тысяч";"147";"8 / 37";"14310";"24819";"0";"9772";"0";"9910";"9468";"16721"
"1464033418.20747";"около 6 тысяч";"69";"беззлобный";"803";"372";"";"2 года 10 месяцев";"около 162 тысяч";"147";"8 / 37";"14316";"24819";"0";"9868";"0";"9996";"9549";"17258"
"1464076612.6292";"около 6 тысяч";"69";"беззлобный";"803";"372";"";"2 года 10 месяцев";"около 162 тысяч";"147";"8 / 37";"14320";"24819";"0";"9791";"0";"9935";"9493";"17523"
"1464119811.45669";"около 6 тысяч";"69";"беззлобный";"803";"372";"";"2 года 10 месяцев";"около 162 тысяч";"147";"8 / 37";"14324";"24819";"0";"9897";"0";"10052";"9566";"18097"
"1464163010.60155";"около 6 тысяч";"69";"беззлобный";"803";"372";"";"2 года 10 месяцев";"около 162 тысяч";"147";"8 / 37";"14326";"24819";"0";"9782";"0";"9908";"9466";"18353"
"1464206216.20851";"около 3 тысяч";"69";"беззлобный";"813";"372";"";"2 года 10 месяцев";"около 162 тысяч";"147";"8 / 37";"14263";"24819";"0";"9884";"0";"9954";"9536";"17759"
"1464249410.40506";"ни одного";"69";"беззлобный";"814";"372";"";"2 года 10 месяцев";"около 162 тысяч";"148";"8 / 37";"14263";"24819";"0";"9766";"0";"9980";"9425";"16582"
"1464292615.83347";"около тысячи";"69";"беззлобный";"814";"372";"";"2 года 10 месяцев";"около 162 тысяч";"148";"8 / 37";"14270";"24819";"0";"9891";"0";"10127";"9521";"15590"
"1464335821.01254";"около тысячи";"69";"беззлобный";"814";"372";"";"2 года 10 месяцев";"около 162 тысяч";"148";"8 / 37";"14273";"24819";"0";"9784";"0";"10013";"9449";"15981"
