"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856844.18195";"около 4 тысяч";"43";"нейтральный";"2";"268";"9";"7 месяцев";"около 41 тысяч";"42";"60 / 42";"37211";"16523";"21556";"16018";"13265";"18608";"0"
"1463860703.33609";"около 4 тысяч";"43";"нейтральный";"2";"268";"9";"7 месяцев";"около 41 тысяч";"42";"60 / 42";"37211";"16523";"21578";"16032";"13281";"18623";"0"
"1463903887.91721";"около 4 тысяч";"43";"нейтральный";"2";"268";"9";"7 месяцев";"около 41 тысяч";"42";"60 / 42";"37211";"16526";"21304";"15813";"13155";"18421";"0"
"1463947095.94544";"около 4 тысяч";"43";"нейтральный";"2";"268";"9";"7 месяцев";"около 41 тысяч";"42";"60 / 42";"37211";"16535";"21572";"15950";"13302";"18642";"0"
"1463990287.89833";"около 4 тысяч";"43";"нейтральный";"2";"268";"9";"7 месяцев";"около 41 тысяч";"42";"60 / 42";"37211";"16536";"21297";"15777";"13152";"18441";"0"
"1464033495.26842";"около 4 тысяч";"43";"нейтральный";"2";"268";"9";"7 месяцев";"около 41 тысяч";"42";"60 / 42";"37211";"16541";"21587";"15906";"13255";"18650";"0"
"1464076689.49657";"около 3 тысяч";"43";"нейтральный";"4";"268";"9";"8 месяцев";"около 42 тысяч";"43";"60 / 42";"37211";"16542";"21224";"15722";"13744";"18418";"0"
"1464119888.47351";"около 19 сотен";"43";"нейтральный";"10";"268";"9";"8 месяцев";"около 42 тысяч";"43";"60 / 42";"37211";"16549";"21533";"15829";"13798";"18637";"0"
"1464163087.50314";"около 3 тысяч";"43";"нейтральный";"10";"268";"9";"8 месяцев";"около 42 тысяч";"43";"60 / 42";"37211";"16546";"21217";"15582";"13609";"18379";"0"
"1464206293.14528";"около 4 тысяч";"43";"нейтральный";"12";"268";"9";"8 месяцев";"около 42 тысяч";"43";"60 / 42";"37211";"16552";"21479";"15739";"13648";"18596";"0"
"1464249487.28491";"около тысячи";"43";"нейтральный";"12";"268";"9";"8 месяцев";"около 42 тысяч";"44";"60 / 42";"37211";"16557";"21249";"15531";"14237";"18319";"0"
"1464292699.36485";"около 17 сотен";"43";"недовольный";"13";"268";"10";"8 месяцев";"около 42 тысяч";"44";"60 / 43";"37211";"16855";"21395";"14855";"14286";"18535";"5869"
"1464335897.85524";"около 15 сотен";"43";"недовольный";"14";"268";"10";"8 месяцев";"около 42 тысяч";"44";"60 / 43";"37211";"16861";"21122";"14675";"14065";"18300";"5958"
